WHFNWGT,TFTOTINC,RFPOV,SSUSEQ,SROTATON,RHCALMN,RHCALYR,GVARSTR,GHLFSAM,GRGC,SSUID
1833.3064,6336,1860,12063,4,1,2011,37,1,57,404133398049
1805.2031,4836,2200,12063,4,2,2011,37,1,57,404133398049
1760.2859,4836,2221,12063,4,3,2011,37,1,57,404133398049
1838.1818,4836,1851,12063,4,12,2010,37,1,57,404133398049
1833.3064,6336,1860,12063,4,1,2011,37,1,57,404133398049
1805.2031,4836,2200,12063,4,2,2011,37,1,57,404133398049
1760.2859,4836,2221,12063,4,3,2011,37,1,57,404133398049
1838.1818,4836,1851,12063,4,12,2010,37,1,57,404133398049
1833.3064,6336,1860,12063,4,1,2011,37,1,57,404133398049
1805.2031,4836,2200,12063,4,2,2011,37,1,57,404133398049
1760.2859,4836,2221,12063,4,3,2011,37,1,57,404133398049
1805.2031,4836,2200,12063,4,2,2011,37,1,57,404133398049
1760.2859,4836,2221,12063,4,3,2011,37,1,57,404133398049
1305.5249,3575,1851,12801,4,12,2010,37,1,67,404925743049
1383.3756,3575,1860,12801,4,1,2011,37,1,67,404925743049
1290.3237,3575,1869,12801,4,2,2011,37,1,67,404925743049
1307.7029,3575,1888,12801,4,3,2011,37,1,67,404925743049
1305.5249,3575,1851,12801,4,12,2010,37,1,67,404925743049
1383.3756,3575,1860,12801,4,1,2011,37,1,67,404925743049
1290.3237,3575,1869,12801,4,2,2011,37,1,67,404925743049
1307.7029,3575,1888,12801,4,3,2011,37,1,67,404925743049
1305.5249,3575,1851,12801,4,12,2010,37,1,67,404925743049
1383.3756,3575,1860,12801,4,1,2011,37,1,67,404925743049
1290.3237,3575,1869,12801,4,2,2011,37,1,67,404925743049
1307.7029,3575,1888,12801,4,3,2011,37,1,67,404925743049
1305.5249,3575,1851,12801,4,12,2010,37,1,67,404925743049
1383.3756,3575,1860,12801,4,1,2011,37,1,67,404925743049
1290.3237,3575,1869,12801,4,2,2011,37,1,67,404925743049
1307.7029,3575,1888,12801,4,3,2011,37,1,67,404925743049
1452.6680,790,875,12808,4,12,2010,37,1,71,404925743539
1404.6387,790,880,12808,4,1,2011,37,1,71,404925743539
1423.2141,790,884,12808,4,2,2011,37,1,71,404925743539
1457.9072,790,893,12808,4,3,2011,37,1,71,404925743539
888.8166,3090,3330,12809,4,12,2010,37,1,91,404925743643
883.8174,3090,3346,12809,4,1,2011,37,1,91,404925743643
870.0792,3090,3362,12809,4,2,2011,37,1,91,404925743643
875.3497,3090,3395,12809,4,3,2011,37,1,91,404925743643
888.8166,3090,3330,12809,4,12,2010,37,1,91,404925743643
883.8174,3090,3346,12809,4,1,2011,37,1,91,404925743643
870.0792,3090,3362,12809,4,2,2011,37,1,91,404925743643
875.3497,3090,3395,12809,4,3,2011,37,1,91,404925743643
888.8166,3090,3330,12809,4,12,2010,37,1,91,404925743643
883.8174,3090,3346,12809,4,1,2011,37,1,91,404925743643
870.0792,3090,3362,12809,4,2,2011,37,1,91,404925743643
875.3497,3090,3395,12809,4,3,2011,37,1,91,404925743643
888.8166,3090,3330,12809,4,12,2010,37,1,91,404925743643
883.8174,3090,3346,12809,4,1,2011,37,1,91,404925743643
