WHFNWGT,TFTOTINC,RFPOV,SSUSEQ,SROTATON,RHCALMN,RHCALYR,GVARSTR,GHLFSAM,GRGC,SSUID
2929.5593,1127,954,8890,2,1,2011,87,1,82,315925740778
2384.9766,2506,1101,8882,2,10,2010,87,1,78,315925740486
2429.8623,2506,1102,8882,2,11,2010,87,1,78,315925740486
2419.7659,2506,1104,8882,2,12,2010,87,1,78,315925740486
2523.1780,2506,1109,8882,2,1,2011,87,1,78,315925740486
2384.9766,2506,1101,8882,2,10,2010,87,1,78,315925740486
2429.8623,2506,1102,8882,2,11,2010,87,1,78,315925740486
2419.7659,2506,1104,8882,2,12,2010,87,1,78,315925740486
2523.1780,2506,1109,8882,2,1,2011,87,1,78,315925740486
4082.4814,2079,948,8878,2,10,2010,87,1,57,315925740301
3936.9495,2079,948,8878,2,11,2010,87,1,57,315925740301
4017.1711,2079,950,8878,2,12,2010,87,1,57,315925740301
4002.6672,2079,954,8878,2,1,2011,87,1,57,315925740301
2524.7844,1771,874,8871,2,10,2010,87,1,36,315925740058
2402.5413,1771,874,8871,2,11,2010,87,1,36,315925740058
2344.7029,2006,875,8871,2,12,2010,87,1,36,315925740058
2583.9187,1771,880,8871,2,1,2011,87,1,36,315925740058
5858.5811,2219,948,8962,2,10,2010,87,1,45,315925796301
5837.2129,2219,948,8962,2,11,2010,87,1,45,315925796301
6030.1006,2323,950,8962,2,12,2010,87,1,45,315925796301
5776.3335,2323,954,8962,2,1,2011,87,1,45,315925796301
5858.5811,160,1854,8962,2,10,2010,87,1,45,315925796301
5837.2129,160,1855,8962,2,11,2010,87,1,45,315925796301
6030.1006,160,1858,8962,2,12,2010,87,1,45,315925796301
5776.3335,160,1867,8962,2,1,2011,87,1,45,315925796301
5858.5811,160,1854,8962,2,10,2010,87,1,45,315925796301
5837.2129,160,1855,8962,2,11,2010,87,1,45,315925796301
6030.1006,160,1858,8962,2,12,2010,87,1,45,315925796301
5776.3335,160,1867,8962,2,1,2011,87,1,45,315925796301
5858.5811,160,1854,8962,2,10,2010,87,1,45,315925796301
5837.2129,160,1855,8962,2,11,2010,87,1,45,315925796301
6030.1006,160,1858,8962,2,12,2010,87,1,45,315925796301
5776.3335,160,1867,8962,2,1,2011,87,1,45,315925796301
5858.5811,160,1854,8962,2,10,2010,87,1,45,315925796301
5837.2129,160,1855,8962,2,11,2010,87,1,45,315925796301
6030.1006,160,1858,8962,2,12,2010,87,1,45,315925796301
5776.3335,160,1867,8962,2,1,2011,87,1,45,315925796301
4088.3904,8171,1910,8958,2,10,2010,87,1,16,315925796097
4144.8232,8171,1910,8958,2,11,2010,87,1,16,315925796097
4126.3701,8171,1883,8958,2,12,2010,87,1,16,315925796097
4187.0908,8171,1892,8958,2,1,2011,87,1,16,315925796097
4088.3904,8171,1910,8958,2,10,2010,87,1,16,315925796097
4144.8232,8171,1910,8958,2,11,2010,87,1,16,315925796097
4126.3701,8171,1883,8958,2,12,2010,87,1,16,315925796097
4187.0908,8171,1892,8958,2,1,2011,87,1,16,315925796097
4088.3904,8171,1910,8958,2,10,2010,87,1,16,315925796097
4144.8232,8171,1910,8958,2,11,2010,87,1,16,315925796097
