WHFNWGT,TFTOTINC,RFPOV,SSUSEQ,SROTATON,RHCALMN,RHCALYR,GVARSTR,GHLFSAM,GRGC,SSUID
2103.5305,2593,936,34494,1,12,2009,77,2,7,830925266832
1733.0399,1533,863,34495,1,9,2009,77,2,59,830925266848
1745.2003,1533,864,34495,1,10,2009,77,2,59,830925266848
1771.4167,1533,864,34495,1,11,2009,77,2,59,830925266848
1775.8657,1533,863,34495,1,12,2009,77,2,59,830925266848
4323.1270,3144,863,34496,1,9,2009,48,1,81,830925266903
4271.8271,3144,864,34496,1,10,2009,48,1,81,830925266903
4293.5425,3144,864,34496,1,11,2009,48,1,81,830925266903
4244.4536,3144,863,34496,1,12,2009,48,1,81,830925266903
2318.1445,5537,936,34499,1,9,2009,77,2,47,830925358071
2385.8989,5387,937,34499,1,10,2009,77,2,47,830925358071
2368.1699,5387,938,34499,1,11,2009,77,2,47,830925358071
2279.0342,5537,936,34499,1,12,2009,77,2,47,830925358071
4765.4434,2872,1448,34501,1,9,2009,48,1,90,830925358316
4841.3926,2872,1449,34501,1,10,2009,48,1,90,830925358316
4853.7915,2872,1450,34501,1,11,2009,48,1,90,830925358316
4971.4517,2872,1448,34501,1,12,2009,48,1,90,830925358316
4765.4434,2872,1448,34501,1,9,2009,48,1,90,830925358316
4841.3926,2872,1449,34501,1,10,2009,48,1,90,830925358316
4853.7915,2872,1450,34501,1,11,2009,48,1,90,830925358316
4971.4517,2872,1448,34501,1,12,2009,48,1,90,830925358316
4765.4434,2872,1448,34501,1,9,2009,48,1,90,830925358316
4841.3926,2872,1449,34501,1,10,2009,48,1,90,830925358316
4853.7915,2872,1450,34501,1,11,2009,48,1,90,830925358316
4971.4517,2872,1448,34501,1,12,2009,48,1,90,830925358316
1802.7712,4878,936,34502,1,9,2009,77,2,35,830925358444
1698.0405,4878,937,34502,1,10,2009,77,2,35,830925358444
1644.9918,4878,938,34502,1,11,2009,77,2,35,830925358444
1659.8699,4878,936,34502,1,12,2009,77,2,35,830925358444
