WHFNWGT,RFPOV,TFTOTINC,GRGC,GHLFSAM,GVARSTR,RHCALYR,RHCALMN,SROTATON,SSUSEQ,SSUID
2627.5034,739,1159,19,2,33,2003,10,1,14881,462344983903
2645.8440,737,1159,19,2,33,2003,11,1,14881,462344983903
2588.9504,736,1159,19,2,33,2003,12,1,14881,462344983903
2599.9077,740,1167,19,2,33,2004,1,1,14881,462344983903
1797.4583,1032,4091,14,1,14,2003,10,1,14882,462344986194
1797.1666,1029,4091,14,1,14,2003,11,1,14882,462344986194
1942.0403,1028,3169,14,1,14,2003,12,1,14882,462344986194
1934.8586,1033,4091,14,1,14,2004,1,1,14882,462344986194
1797.4583,1032,4091,14,1,14,2003,10,1,14882,462344986194
1797.1666,1029,4091,14,1,14,2003,11,1,14882,462344986194
1942.0403,1028,3169,14,1,14,2003,12,1,14882,462344986194
1934.8586,1033,4091,14,1,14,2004,1,1,14882,462344986194
1983.7992,1569,4168,26,2,56,2003,10,1,14883,462344986267
1916.3977,1564,4168,26,2,56,2003,11,1,14883,462344986267
1937.3745,1562,4168,26,2,56,2003,12,1,14883,462344986267
1890.5928,1570,1,26,2,56,2004,1,1,14883,462344986267
1983.7992,802,1251,26,2,56,2003,10,1,14883,462344986267
1916.3977,800,1251,26,2,56,2003,11,1,14883,462344986267
1937.3745,799,1251,26,2,56,2003,12,1,14883,462344986267
1890.5928,803,1251,26,2,56,2004,1,1,14883,462344986267
1983.7992,1569,4168,26,2,56,2003,10,1,14883,462344986267
1916.3977,1564,4168,26,2,56,2003,11,1,14883,462344986267
1937.3745,1562,4168,26,2,56,2003,12,1,14883,462344986267
1890.5928,1570,1,26,2,56,2004,1,1,14883,462344986267
1983.7992,1569,4168,26,2,56,2003,10,1,14883,462344986267
1916.3977,1564,4168,26,2,56,2003,11,1,14883,462344986267
1937.3745,1562,4168,26,2,56,2003,12,1,14883,462344986267
1890.5928,1570,1,26,2,56,2004,1,1,14883,462344986267
1983.7992,1569,4168,26,2,56,2003,10,1,14883,462344986267
1916.3977,1564,4168,26,2,56,2003,11,1,14883,462344986267
1937.3745,1562,4168,26,2,56,2003,12,1,14883,462344986267
1890.5928,1570,1,26,2,56,2004,1,1,14883,462344986267
3316.9226,1886,4665,28,2,54,2003,10,1,14884,462344986402
3306.5554,1880,4165,28,2,54,2003,11,1,14884,462344986402
3341.3445,1878,4665,28,2,54,2003,12,1,14884,462344986402
3219.5127,1888,4165,28,2,54,2004,1,1,14884,462344986402
3316.9226,1886,4665,28,2,54,2003,10,1,14884,462344986402
