WHFNWGT,TFTOTINC,RFPOV,SSUSEQ,SROTATON,RHCALMN,RHCALYR,GVARSTR,GHLFSAM,GRGC,SSUID
2104.2788,5400,1797,37475,4,3,2009,67,2,48,874925471964
2025.1479,5847,1776,37475,4,12,2008,67,2,48,874925471964
1991.5328,5776,1784,37475,4,1,2009,67,2,48,874925471964
2059.7195,5800,1792,37475,4,2,2009,67,2,48,874925471964
2104.2788,5400,1797,37475,4,3,2009,67,2,48,874925471964
2025.1479,5847,1776,37475,4,12,2008,67,2,48,874925471964
1991.5328,5776,1784,37475,4,1,2009,67,2,48,874925471964
2059.7195,5800,1792,37475,4,2,2009,67,2,48,874925471964
2104.2788,5400,1797,37475,4,3,2009,67,2,48,874925471964
2244.4841,1918,840,37476,4,12,2008,106,2,17,874925489018
2225.4502,1918,843,37476,4,1,2009,106,2,17,874925489018
2228.2542,1918,848,37476,4,2,2009,106,2,17,874925489018
2190.2183,1918,850,37476,4,3,2009,106,2,17,874925489018
2244.4841,2901,840,37476,4,12,2008,106,2,17,874925489018
2225.4502,2901,843,37476,4,1,2009,106,2,17,874925489018
2228.2542,2901,848,37476,4,2,2009,106,2,17,874925489018
2190.2183,2901,850,37476,4,3,2009,106,2,17,874925489018
2665.6011,1096,911,37477,4,12,2008,29,2,5,874925489058
2672.8665,1096,915,37477,4,1,2009,29,2,5,874925489058
2690.8000,1096,920,37477,4,2,2009,29,2,5,874925489058
2658.1428,1096,922,37477,4,3,2009,29,2,5,874925489058
1927.9995,3001,911,37478,4,12,2008,85,2,42,874925489085
1915.7251,3001,915,37478,4,1,2009,85,2,42,874925489085
1839.1724,3001,920,37478,4,2,2009,85,2,42,874925489085
1814.0781,3001,922,37478,4,3,2009,85,2,42,874925489085
1693.0518,2492,2715,37479,4,12,2008,85,1,87,874925489195
1647.6328,2772,2727,37479,4,1,2009,85,1,87,874925489195
1652.3986,3452,2740,37479,4,2,2009,85,1,87,874925489195
1634.2651,1292,2747,37479,4,3,2009,85,1,87,874925489195
1693.0518,2492,2715,37479,4,12,2008,85,1,87,874925489195
1647.6328,2772,2727,37479,4,1,2009,85,1,87,874925489195
1652.3986,3452,2740,37479,4,2,2009,85,1,87,874925489195
1634.2651,1292,2747,37479,4,3,2009,85,1,87,874925489195
1693.0518,2492,2715,37479,4,12,2008,85,1,87,874925489195
1647.6328,2772,2727,37479,4,1,2009,85,1,87,874925489195
1652.3986,3452,2740,37479,4,2,2009,85,1,87,874925489195
1634.2651,1292,2747,37479,4,3,2009,85,1,87,874925489195
1693.0518,2492,2715,37479,4,12,2008,85,1,87,874925489195
1647.6328,2772,2727,37479,4,1,2009,85,1,87,874925489195
