WHFNWGT,TFTOTINC,RFPOV,SSUSEQ,SROTATON,RHCALMN,RHCALYR,GVARSTR,GHLFSAM,GRGC,SSUID
3212.2844,4200,1423,5372,4,2,2009,51,1,26,203344246840
3272.1772,4200,1426,5372,4,3,2009,51,1,26,203344246840
3494.9670,5060,1410,5372,4,12,2008,51,1,26,203344246840
3339.0518,4200,1416,5372,4,1,2009,51,1,26,203344246840
3212.2844,4200,1423,5372,4,2,2009,51,1,26,203344246840
3272.1772,4200,1426,5372,4,3,2009,51,1,26,203344246840
3494.9670,5060,1410,5372,4,12,2008,51,1,26,203344246840
3339.0518,4200,1416,5372,4,1,2009,51,1,26,203344246840
3212.2844,4200,1423,5372,4,2,2009,51,1,26,203344246840
3272.1772,4200,1426,5372,4,3,2009,51,1,26,203344246840
2507.7280,2069,911,5373,4,12,2008,48,2,70,203344246916
2511.2705,2069,915,5373,4,1,2009,48,2,70,203344246916
2540.2429,2069,920,5373,4,2,2009,48,2,70,203344246916
2517.6643,2069,922,5373,4,3,2009,48,2,70,203344246916
3395.0884,8069,911,5376,4,12,2008,96,1,29,203344358978
3371.9016,8069,915,5376,4,1,2009,96,1,29,203344358978
3280.1909,8069,920,5376,4,2,2009,96,1,29,203344358978
3211.2761,8069,922,5376,4,3,2009,96,1,29,203344358978
3395.0884,5004,911,5376,4,12,2008,96,1,29,203344358978
3371.9016,5004,915,5376,4,1,2009,96,1,29,203344358978
3280.1909,5004,920,5376,4,2,2009,96,1,29,203344358978
3211.2761,5004,922,5376,4,3,2009,96,1,29,203344358978
3641.5952,0,1411,5377,4,12,2008,39,1,70,203344369060
3495.4915,0,1417,5377,4,1,2009,39,1,70,203344369060
3638.4583,0,1424,5377,4,2,2009,39,1,70,203344369060
3701.5083,0,1427,5377,4,3,2009,39,1,70,203344369060
3641.5952,0,1411,5377,4,12,2008,39,1,70,203344369060
3495.4915,0,1417,5377,4,1,2009,39,1,70,203344369060
3638.4583,0,1424,5377,4,2,2009,39,1,70,203344369060
3701.5083,0,1427,5377,4,3,2009,39,1,70,203344369060
3641.5952,0,1411,5377,4,12,2008,39,1,70,203344369060
3495.4915,0,1417,5377,4,1,2009,39,1,70,203344369060
3638.4583,0,1424,5377,4,2,2009,39,1,70,203344369060
3701.5083,0,1427,5377,4,3,2009,39,1,70,203344369060
3341.2803,848,840,5378,4,12,2008,83,2,47,203344369142
3424.4504,848,843,5378,4,1,2009,83,2,47,203344369142
3420.1223,848,848,5378,4,2,2009,83,2,47,203344369142
3326.9551,848,850,5378,4,3,2009,83,2,47,203344369142
2914.6997,3682,1370,5379,4,12,2008,39,2,18,203344369197
2808.6689,3682,1376,5379,4,1,2009,39,2,18,203344369197
2823.5332,3682,1383,5379,4,2,2009,39,2,18,203344369197
2797.5630,3682,1386,5379,4,3,2009,39,2,18,203344369197
2914.6997,3682,1370,5379,4,12,2008,39,2,18,203344369197
