WHFNWGT,RFPOV,TFTOTINC,GRGC,GHLFSAM,GVARSTR,RHCALYR,RHCALMN,SROTATON,SSUSEQ,SSUID
3546.1313,1357,1200,55,1,24,2007,1,1,17567,916399451772
14197.3535,875,3000,41,2,5,2006,10,1,17568,916418000098
14081.4883,873,3000,41,2,5,2006,11,1,17568,916418000098
13718.9277,875,3000,41,2,5,2006,12,1,17568,916418000098
13526.7012,877,3000,41,2,5,2007,1,1,17568,916418000098
11587.1240,1126,8011,84,1,33,2006,10,1,17569,916418123116
11079.3984,1124,8011,84,1,33,2006,11,1,17569,916418123116
11343.6094,1125,8011,84,1,33,2006,12,1,17569,916418123116
11873.7188,1129,8011,84,1,33,2007,1,1,17569,916418123116
11587.1240,1126,8011,84,1,33,2006,10,1,17569,916418123116
11079.3984,1124,8011,84,1,33,2006,11,1,17569,916418123116
11343.6094,1125,8011,84,1,33,2006,12,1,17569,916418123116
11873.7188,1129,8011,84,1,33,2007,1,1,17569,916418123116
4305.3154,1705,6696,88,2,33,2006,10,1,17570,916418123568
4091.4514,1702,6696,88,2,33,2006,11,1,17570,916418123568
4173.7314,1705,6696,88,2,33,2006,12,1,17570,916418123568
4047.6660,1710,6696,88,2,33,2007,1,1,17570,916418123568
4305.3154,1705,6696,88,2,33,2006,10,1,17570,916418123568
4091.4514,1702,6696,88,2,33,2006,11,1,17570,916418123568
4173.7314,1705,6696,88,2,33,2006,12,1,17570,916418123568
4047.6660,1710,6696,88,2,33,2007,1,1,17570,916418123568
4305.3154,1705,6696,88,2,33,2006,10,1,17570,916418123568
4091.4514,1702,6696,88,2,33,2006,11,1,17570,916418123568
4173.7314,1705,6696,88,2,33,2006,12,1,17570,916418123568
4047.6660,1710,6696,88,2,33,2007,1,1,17570,916418123568
4305.3154,1705,6696,88,2,33,2006,10,1,17570,916418123568
4091.4514,1702,6696,88,2,33,2006,11,1,17570,916418123568
4173.7314,1705,6696,88,2,33,2006,12,1,17570,916418123568
4047.6660,1710,6696,88,2,33,2007,1,1,17570,916418123568
5566.0278,806,758,48,2,24,2006,10,1,17572,916418451596
5351.6558,805,758,48,2,24,2006,11,1,17572,916418451596
5368.7578,806,758,48,2,24,2006,12,1,17572,916418451596
5256.1548,809,758,48,2,24,2007,1,1,17572,916418451596
3336.3499,1016,2790,55,1,24,2006,10,1,17573,916418451772
3267.3530,1015,2790,55,1,24,2006,11,1,17573,916418451772
3387.3264,1016,2790,55,1,24,2006,12,1,17573,916418451772
3378.3809,1019,2790,55,1,24,2007,1,1,17573,916418451772
3336.3499,1016,2790,55,1,24,2006,10,1,17573,916418451772
3267.3530,1015,2790,55,1,24,2006,11,1,17573,916418451772
3387.3264,1016,2790,55,1,24,2006,12,1,17573,916418451772
3378.3809,1019,2790,55,1,24,2007,1,1,17573,916418451772
4094.3164,1353,5406,7,2,34,2006,10,1,17574,916445038555
4191.5801,1351,2,7,2,34,2006,11,1,17574,916445038555
4352.8433,1353,2,7,2,34,2006,12,1,17574,916445038555
4937.7480,1357,2,7,2,34,2007,1,1,17574,916445038555
4094.3164,1353,5406,7,2,34,2006,10,1,17574,916445038555
4191.5801,1351,2,7,2,34,2006,11,1,17574,916445038555
