WHFNWGT,TFTOTINC,RFPOV,SSUSEQ,SROTATON,RHCALMN,RHCALYR,GVARSTR,GHLFSAM,GRGC,SSUID
3558.5984,1400,2225,27772,4,8,2010,7,1,6,697925369040
3560.6960,1400,2226,27772,4,9,2010,7,1,6,697925369040
3533.8545,1400,2229,27772,4,10,2010,7,1,6,697925369040
3532.3215,1400,2230,27772,4,11,2010,7,1,6,697925369040
3558.5984,1400,2225,27772,4,8,2010,7,1,6,697925369040
3560.6960,1400,2226,27772,4,9,2010,7,1,6,697925369040
3533.8545,1400,2229,27772,4,10,2010,7,1,6,697925369040
3532.3215,1400,2230,27772,4,11,2010,7,1,6,697925369040
3558.5984,1400,2225,27772,4,8,2010,7,1,6,697925369040
3560.6960,1400,2226,27772,4,9,2010,7,1,6,697925369040
3533.8545,1400,2229,27772,4,10,2010,7,1,6,697925369040
3532.3215,1400,2230,27772,4,11,2010,7,1,6,697925369040
3558.5984,1400,2225,27772,4,8,2010,7,1,6,697925369040
3560.6960,1400,2226,27772,4,9,2010,7,1,6,697925369040
3533.8545,1400,2229,27772,4,10,2010,7,1,6,697925369040
3532.3215,1400,2230,27772,4,11,2010,7,1,6,697925369040
3558.5984,1400,2225,27772,4,8,2010,7,1,6,697925369040
3560.6960,1400,2226,27772,4,9,2010,7,1,6,697925369040
3533.8545,1400,2229,27772,4,10,2010,7,1,6,697925369040
3532.3215,1400,2230,27772,4,11,2010,7,1,6,697925369040
4118.2773,6516,1906,27798,4,8,2010,7,2,98,697925369804
4121.1094,3700,1465,27798,4,9,2010,7,2,98,697925369804
4183.7876,3700,1466,27798,4,10,2010,7,2,98,697925369804
4188.8613,3700,1467,27798,4,11,2010,7,2,98,697925369804
4118.2773,6516,1906,27798,4,8,2010,7,2,98,697925369804
4121.1094,3700,1465,27798,4,9,2010,7,2,98,697925369804
4183.7876,3700,1466,27798,4,10,2010,7,2,98,697925369804
4188.8613,3700,1467,27798,4,11,2010,7,2,98,697925369804
4118.2773,6516,1906,27798,4,8,2010,7,2,98,697925369804
4121.1094,2901,947,27798,4,9,2010,7,2,98,697925369804
4183.7876,2901,948,27798,4,10,2010,7,2,98,697925369804
4188.8613,2901,948,27798,4,11,2010,7,2,98,697925369804
4118.2773,6516,1906,27798,4,8,2010,7,2,98,697925369804
4121.1094,3700,1465,27798,4,9,2010,7,2,98,697925369804
4183.7876,3700,1466,27798,4,10,2010,7,2,98,697925369804
4188.8613,3700,1467,27798,4,11,2010,7,2,98,697925369804
2511.1189,11667,1218,27777,4,8,2010,7,1,94,697925369420
2530.6404,11667,1218,27777,4,9,2010,7,1,94,697925369420
2509.8120,11667,1220,27777,4,10,2010,7,1,94,697925369420
2505.2278,11667,1220,27777,4,11,2010,7,1,94,697925369420
2511.1189,11667,1218,27777,4,8,2010,7,1,94,697925369420
2530.6404,11667,1218,27777,4,9,2010,7,1,94,697925369420
2509.8120,11667,1220,27777,4,10,2010,7,1,94,697925369420
2505.2278,11667,1220,27777,4,11,2010,7,1,94,697925369420
3028.3364,1822,1463,27003,1,5,2010,91,2,48,685925796420
3104.8188,1822,1461,27003,1,6,2010,91,2,48,685925796420
3034.3882,1864,1462,27003,1,7,2010,91,2,48,685925796420
2959.2195,1822,1464,27003,1,8,2010,91,2,48,685925796420
3028.3364,1822,1463,27003,1,5,2010,91,2,48,685925796420
3104.8188,1822,1461,27003,1,6,2010,91,2,48,685925796420
3034.3882,1864,1462,27003,1,7,2010,91,2,48,685925796420
2959.2195,1822,1464,27003,1,8,2010,91,2,48,685925796420
3028.3364,1822,1463,27003,1,5,2010,91,2,48,685925796420
3104.8188,1822,1461,27003,1,6,2010,91,2,48,685925796420
3034.3882,1864,1462,27003,1,7,2010,91,2,48,685925796420
2959.2195,1822,1464,27003,1,8,2010,91,2,48,685925796420
4837.1855,456,946,26291,1,5,2010,91,2,60,685925123804
4860.7261,456,945,26291,1,6,2010,91,2,60,685925123804
4682.4795,456,945,26291,1,7,2010,91,2,60,685925123804
4633.7524,456,946,26291,1,8,2010,91,2,60,685925123804
3819.9119,3987,1843,26285,1,5,2010,91,2,40,685925123584
3846.9507,3987,1841,26285,1,6,2010,91,2,40,685925123584
3859.1184,3987,1842,26285,1,7,2010,91,2,40,685925123584
3857.8508,3987,1844,26285,1,8,2010,91,2,40,685925123584
3819.9119,3987,1843,26285,1,5,2010,91,2,40,685925123584
3846.9507,3987,1841,26285,1,6,2010,91,2,40,685925123584
3859.1184,3987,1842,26285,1,7,2010,91,2,40,685925123584
3857.8508,3987,1844,26285,1,8,2010,91,2,40,685925123584
3819.9119,3987,1843,26285,1,5,2010,91,2,40,685925123584
3846.9507,3987,1841,26285,1,6,2010,91,2,40,685925123584
3859.1184,3987,1842,26285,1,7,2010,91,2,40,685925123584
3857.8508,3987,1844,26285,1,8,2010,91,2,40,685925123584
3819.9119,3987,1843,26285,1,5,2010,91,2,40,685925123584
3846.9507,3987,1841,26285,1,6,2010,91,2,40,685925123584
3859.1184,3987,1842,26285,1,7,2010,91,2,40,685925123584
3857.8508,3987,1844,26285,1,8,2010,91,2,40,685925123584
