WHFNWGT,TFTOTINC,RFPOV,SSUSEQ,SROTATON,RHCALMN,RHCALYR,GVARSTR,GHLFSAM,GRGC,SSUID
2135.2932,4811,1468,5008,2,6,2008,77,1,5,146925651956
2190.3171,4576,1476,5008,2,7,2008,77,1,5,146925651956
2135.2058,4811,1470,5008,2,8,2008,77,1,5,146925651956
2111.5195,4561,1468,5008,2,9,2008,77,1,5,146925651956
1631.1909,3140,1220,5009,2,6,2008,77,1,50,146925651957
1641.8313,3140,1227,5009,2,7,2008,77,1,50,146925651957
1647.0200,3140,1222,5009,2,8,2008,77,1,50,146925651957
1610.1538,3140,1220,5009,2,9,2008,77,1,50,146925651957
1631.1909,3140,1220,5009,2,6,2008,77,1,50,146925651957
1641.8313,3140,1227,5009,2,7,2008,77,1,50,146925651957
1647.0200,3140,1222,5009,2,8,2008,77,1,50,146925651957
1610.1538,3140,1220,5009,2,9,2008,77,1,50,146925651957
2283.0735,11802,1467,5010,2,6,2008,37,1,53,146925679040
2349.7576,13469,1475,5010,2,7,2008,37,1,53,146925679040
2309.5918,11369,1469,5010,2,8,2008,37,1,53,146925679040
2389.0024,11369,1467,5010,2,9,2008,37,1,53,146925679040
2283.0735,11802,1467,5010,2,6,2008,37,1,53,146925679040
2349.7576,13469,1475,5010,2,7,2008,37,1,53,146925679040
2309.5918,11369,1469,5010,2,8,2008,37,1,53,146925679040
2389.0024,11369,1467,5010,2,9,2008,37,1,53,146925679040
2283.0735,11802,1467,5010,2,6,2008,37,1,53,146925679040
2349.7576,13469,1475,5010,2,7,2008,37,1,53,146925679040
2309.5918,11369,1469,5010,2,8,2008,37,1,53,146925679040
2389.0024,11369,1467,5010,2,9,2008,37,1,53,146925679040
1886.9364,2255,1102,5011,2,6,2008,37,1,91,146925679196
1923.5066,2155,1107,5011,2,7,2008,37,1,91,146925679196
1906.3407,2155,1103,5011,2,8,2008,37,1,91,146925679196
1944.5277,2155,1102,5011,2,9,2008,37,1,91,146925679196
1886.9364,2255,1102,5011,2,6,2008,37,1,91,146925679196
1923.5066,2155,1107,5011,2,7,2008,37,1,91,146925679196
1906.3407,2155,1103,5011,2,8,2008,37,1,91,146925679196
1944.5277,2155,1102,5011,2,9,2008,37,1,91,146925679196
1774.4668,1936,874,5012,2,6,2008,37,1,101,146925679420
1815.4613,1936,879,5012,2,7,2008,37,1,101,146925679420
1834.3549,1936,875,5012,2,8,2008,37,1,101,146925679420
1877.9193,1936,874,5012,2,9,2008,37,1,101,146925679420
2349.9146,1900,1220,5013,2,6,2008,37,2,83,146925679440
2375.1997,1900,1227,5013,2,7,2008,37,2,83,146925679440
2358.0327,1900,1222,5013,2,8,2008,37,2,83,146925679440
2365.4983,6433,1220,5013,2,9,2008,37,2,83,146925679440
2349.9146,1900,1220,5013,2,6,2008,37,2,83,146925679440
2375.1997,1900,1227,5013,2,7,2008,37,2,83,146925679440
2358.0327,1900,1222,5013,2,8,2008,37,2,83,146925679440
2365.4983,6433,1220,5013,2,9,2008,37,2,83,146925679440
2103.8477,3956,1426,5014,2,6,2008,37,1,89,146925679554
2046.8152,3956,1433,5014,2,7,2008,37,1,89,146925679554
2074.5908,3956,1428,5014,2,8,2008,37,1,89,146925679554
2079.6162,3956,1426,5014,2,9,2008,37,1,89,146925679554
2103.8477,3956,1426,5014,2,6,2008,37,1,89,146925679554
2046.8152,3956,1433,5014,2,7,2008,37,1,89,146925679554
2074.5908,3956,1428,5014,2,8,2008,37,1,89,146925679554
2079.6162,3956,1426,5014,2,9,2008,37,1,89,146925679554
2103.8477,3956,1426,5014,2,6,2008,37,1,89,146925679554
2046.8152,3956,1433,5014,2,7,2008,37,1,89,146925679554
2074.5908,3956,1428,5014,2,8,2008,37,1,89,146925679554
2079.6162,3956,1426,5014,2,9,2008,37,1,89,146925679554
2346.7693,5851,948,5015,2,6,2008,37,1,79,146925679772
