WHFNWGT,TFTOTINC,RFPOV,SSUSEQ,SROTATON,RHCALMN,RHCALYR,GVARSTR,GHLFSAM,GRGC,SSUID
3688.7126,4698,2187,24918,2,7,2008,109,1,48,679133701179
3993.5151,4698,2178,24918,2,8,2008,109,1,48,679133701179
4205.2642,4698,2175,24918,2,9,2008,109,1,48,679133701179
3692.1470,0,948,24918,2,6,2008,109,1,48,679133701179
3688.7126,0,953,24918,2,7,2008,109,1,48,679133701179
3993.5151,0,949,24918,2,8,2008,109,1,48,679133701179
4205.2642,0,948,24918,2,9,2008,109,1,48,679133701179
3692.1470,4698,2175,24918,2,6,2008,109,1,48,679133701179
3688.7126,4698,2187,24918,2,7,2008,109,1,48,679133701179
3993.5151,4698,2178,24918,2,8,2008,109,1,48,679133701179
4205.2642,4698,2175,24918,2,9,2008,109,1,48,679133701179
3692.1470,4698,2175,24918,2,6,2008,109,1,48,679133701179
3688.7126,4698,2187,24918,2,7,2008,109,1,48,679133701179
3993.5151,4698,2178,24918,2,8,2008,109,1,48,679133701179
4205.2642,4698,2175,24918,2,9,2008,109,1,48,679133701179
3692.1470,4698,2175,24918,2,6,2008,109,1,48,679133701179
3688.7126,4698,2187,24918,2,7,2008,109,1,48,679133701179
3993.5151,4698,2178,24918,2,8,2008,109,1,48,679133701179
4205.2642,4698,2175,24918,2,9,2008,109,1,48,679133701179
2453.5308,914,874,24919,2,6,2008,109,1,20,679133701668
2429.3696,914,879,24919,2,7,2008,109,1,20,679133701668
2390.0806,914,875,24919,2,8,2008,109,1,20,679133701668
2360.5540,914,874,24919,2,9,2008,109,1,20,679133701668
2303.5415,10633,1220,24920,2,6,2008,9,2,78,679133717258
2303.0752,10633,1227,24920,2,7,2008,9,2,78,679133717258
2268.3896,10633,1222,24920,2,8,2008,9,2,78,679133717258
2234.0227,10633,1220,24920,2,9,2008,9,2,78,679133717258
2303.5415,10633,1220,24920,2,6,2008,9,2,78,679133717258
2303.0752,10633,1227,24920,2,7,2008,9,2,78,679133717258
2268.3896,10633,1222,24920,2,8,2008,9,2,78,679133717258
2234.0227,10633,1220,24920,2,9,2008,9,2,78,679133717258
1843.5892,8418,2175,24921,2,6,2008,9,1,80,679133717621
1849.8215,8418,2187,24921,2,7,2008,9,1,80,679133717621
1859.7474,8418,2178,24921,2,8,2008,9,1,80,679133717621
1865.6953,8418,2175,24921,2,9,2008,9,1,80,679133717621
1843.5892,8418,2175,24921,2,6,2008,9,1,80,679133717621
1849.8215,8418,2187,24921,2,7,2008,9,1,80,679133717621
1859.7474,8418,2178,24921,2,8,2008,9,1,80,679133717621
1865.6953,8418,2175,24921,2,9,2008,9,1,80,679133717621
1843.5892,8418,2175,24921,2,6,2008,9,1,80,679133717621
1849.8215,8418,2187,24921,2,7,2008,9,1,80,679133717621
1859.7474,8418,2178,24921,2,8,2008,9,1,80,679133717621
1865.6953,8418,2175,24921,2,9,2008,9,1,80,679133717621
1843.5892,8418,2175,24921,2,6,2008,9,1,80,679133717621
1849.8215,8418,2187,24921,2,7,2008,9,1,80,679133717621
1859.7474,8418,2178,24921,2,8,2008,9,1,80,679133717621
1865.6953,8418,2175,24921,2,9,2008,9,1,80,679133717621
1843.5892,8418,2175,24921,2,6,2008,9,1,80,679133717621
1849.8215,8418,2187,24921,2,7,2008,9,1,80,679133717621
1859.7474,8418,2178,24921,2,8,2008,9,1,80,679133717621
1865.6953,8418,2175,24921,2,9,2008,9,1,80,679133717621
1848.0132,692,1848,24922,2,6,2008,9,1,53,679133717777
1867.2740,701,1858,24922,2,7,2008,9,1,53,679133717777
1872.5775,701,1851,24922,2,8,2008,9,1,53,679133717777
1854.9895,701,1848,24922,2,9,2008,9,1,53,679133717777
1848.0132,692,1848,24922,2,6,2008,9,1,53,679133717777
1867.2740,701,1858,24922,2,7,2008,9,1,53,679133717777
1872.5775,701,1851,24922,2,8,2008,9,1,53,679133717777
1854.9895,701,1848,24922,2,9,2008,9,1,53,679133717777
1848.0132,692,1848,24922,2,6,2008,9,1,53,679133717777
1867.2740,701,1858,24922,2,7,2008,9,1,53,679133717777
1872.5775,701,1851,24922,2,8,2008,9,1,53,679133717777
1854.9895,701,1848,24922,2,9,2008,9,1,53,679133717777
1848.0132,692,1848,24922,2,6,2008,9,1,53,679133717777
1867.2740,701,1858,24922,2,7,2008,9,1,53,679133717777
1872.5775,701,1851,24922,2,8,2008,9,1,53,679133717777
1854.9895,701,1848,24922,2,9,2008,9,1,53,679133717777
1965.8199,9053,1220,24923,2,6,2008,9,1,46,679133717814
1960.5857,9053,1227,24923,2,7,2008,9,1,46,679133717814
1993.1758,9053,1222,24923,2,8,2008,9,1,46,679133717814
2011.3213,9053,1220,24923,2,9,2008,9,1,46,679133717814
1965.8199,9053,1220,24923,2,6,2008,9,1,46,679133717814
1960.5857,9053,1227,24923,2,7,2008,9,1,46,679133717814
1993.1758,9053,1222,24923,2,8,2008,9,1,46,679133717814
2011.3213,9053,1220,24923,2,9,2008,9,1,46,679133717814
