WHFNWGT,RFPOV,TFTOTINC,GRGC,GHLFSAM,GVARSTR,RHCALYR,RHCALMN,SROTATON,SSUSEQ,SSUID
8100.9380,905,2570,49,2,54,2007,10,2,17756,952098651944
8118.3027,832,4138,49,2,54,2007,7,2,17756,952098651944
7930.5688,831,5282,49,2,54,2007,8,2,17756,952098651944
8456.9922,833,4138,49,2,54,2007,9,2,17756,952098651944
8100.9380,835,4582,49,2,54,2007,10,2,17756,952098651944
8682.2178,1357,40381,9,1,104,2007,7,2,17757,952098743060
8748.0381,1355,40381,9,1,104,2007,8,2,17757,952098743060
8864.2432,1358,40381,9,1,104,2007,9,2,17757,952098743060
8731.4287,1361,40381,9,1,104,2007,10,2,17757,952098743060
8682.2178,1357,40381,9,1,104,2007,7,2,17757,952098743060
8748.0381,1355,40381,9,1,104,2007,8,2,17757,952098743060
8864.2432,1358,40381,9,1,104,2007,9,2,17757,952098743060
8731.4287,1361,40381,9,1,104,2007,10,2,17757,952098743060
15961.0820,1162,7916,9,1,104,2007,7,2,17757,952098743060
16500.4590,1160,7916,9,1,104,2007,8,2,17757,952098743060
16147.0527,1163,7916,9,1,104,2007,9,2,17757,952098743060
15968.0684,1165,7916,9,1,104,2007,10,2,17757,952098743060
15961.0820,1162,7916,9,1,104,2007,7,2,17757,952098743060
16500.4590,1160,7916,9,1,104,2007,8,2,17757,952098743060
16147.0527,1163,7916,9,1,104,2007,9,2,17757,952098743060
15968.0684,1165,7916,9,1,104,2007,10,2,17757,952098743060
8682.2178,1357,40381,9,1,104,2007,7,2,17757,952098743060
8748.0381,1355,40381,9,1,104,2007,8,2,17757,952098743060
8864.2432,1358,40381,9,1,104,2007,9,2,17757,952098743060
8731.4287,1361,40381,9,1,104,2007,10,2,17757,952098743060
4418.4482,1357,3953,57,1,11,2007,7,2,17758,952098743207
4145.0103,1355,4019,57,1,11,2007,8,2,17758,952098743207
4383.5186,1358,3953,57,1,11,2007,9,2,17758,952098743207
4440.4780,1361,4019,57,1,11,2007,10,2,17758,952098743207
