WHFNWGT,RFPOV,TFTOTINC,GRGC,GHLFSAM,GVARSTR,RHCALYR,RHCALMN,SROTATON,SSUSEQ,SSUID
3784.1785,1078,9467,68,1,99,2005,3,2,1,019128000932
3770.5957,1085,9467,68,1,99,2005,4,2,1,019128000932
3830.4414,1084,9467,68,1,99,2005,5,2,1,019128000932
3939.7473,1085,9467,68,1,99,2005,6,2,1,019128000932
3784.1785,1078,9467,68,1,99,2005,3,2,1,019128000932
3770.5957,1085,9467,68,1,99,2005,4,2,1,019128000932
3830.4414,1084,9467,68,1,99,2005,5,2,1,019128000932
3939.7473,1085,9467,68,1,99,2005,6,2,1,019128000932
2795.3000,1078,2847,45,1,4,2005,3,2,2,019128038046
2767.0146,1085,2847,45,1,4,2005,4,2,2,019128038046
2377.4719,1084,2847,45,1,4,2005,5,2,2,019128038046
2321.2168,1085,2847,45,1,4,2005,6,2,2,019128038046
2795.3000,1078,2847,45,1,4,2005,3,2,2,019128038046
2767.0146,1085,2847,45,1,4,2005,4,2,2,019128038046
2377.4719,1084,2847,45,1,4,2005,5,2,2,019128038046
2321.2168,1085,2847,45,1,4,2005,6,2,2,019128038046
3697.9282,838,39956,43,1,96,2005,3,2,3,019128358448
3755.7473,843,39956,43,1,96,2005,4,2,3,019128358448
3571.4880,843,39956,43,1,96,2005,5,2,3,019128358448
3575.8220,843,39956,43,1,96,2005,6,2,3,019128358448
4620.4541,1106,4500,27,1,96,2005,3,2,4,019128358978
4721.8208,1113,4500,27,1,96,2005,4,2,4,019128358978
4510.6216,1112,4500,27,1,96,2005,5,2,4,019128358978
5078.5952,1112,4500,27,1,96,2005,6,2,4,019128358978
4620.4541,1106,4500,27,1,96,2005,3,2,4,019128358978
4721.8208,1113,4500,27,1,96,2005,4,2,4,019128358978
4510.6216,1112,4500,27,1,96,2005,5,2,4,019128358978
5078.5952,1112,4500,27,1,96,2005,6,2,4,019128358978
3289.9136,838,1324,62,1,83,2005,3,2,5,019133000276
3183.6150,843,1324,62,1,83,2005,4,2,5,019133000276
5671.7905,843,1324,62,1,83,2005,5,2,5,019133000276
5223.9971,843,1324,62,1,83,2005,6,2,5,019133000276
3289.9136,838,2786,62,1,83,2005,3,2,5,019133000276
3183.6150,843,2786,62,1,83,2005,4,2,5,019133000276
3927.1694,1296,9256,30,2,62,2005,3,2,6,019133000301
3872.5132,1305,9339,30,2,62,2005,4,2,6,019133000301
3944.2974,1304,9339,30,2,62,2005,5,2,6,019133000301
4013.4795,1304,9339,30,2,62,2005,6,2,6,019133000301
3927.1694,1296,9256,30,2,62,2005,3,2,6,019133000301
3872.5132,1305,9339,30,2,62,2005,4,2,6,019133000301
3944.2974,1304,9339,30,2,62,2005,5,2,6,019133000301
4013.4795,1304,9339,30,2,62,2005,6,2,6,019133000301
3927.1694,1296,9256,30,2,62,2005,3,2,6,019133000301
3872.5132,1305,9339,30,2,62,2005,4,2,6,019133000301
3944.2974,1304,9339,30,2,62,2005,5,2,6,019133000301
4013.4795,1304,9339,30,2,62,2005,6,2,6,019133000301
3293.5618,1633,5939,8,1,62,2005,3,2,7,019133000778
3356.7373,1644,5939,8,1,62,2005,4,2,7,019133000778
3321.1082,1642,5939,8,1,62,2005,5,2,7,019133000778
3463.6667,1643,6539,8,1,62,2005,6,2,7,019133000778
3293.5618,1633,5939,8,1,62,2005,3,2,7,019133000778
3356.7373,1644,5939,8,1,62,2005,4,2,7,019133000778
3321.1082,1642,5939,8,1,62,2005,5,2,7,019133000778
3463.6667,1643,6539,8,1,62,2005,6,2,7,019133000778
3293.5618,1633,5939,8,1,62,2005,3,2,7,019133000778
3356.7373,1644,5939,8,1,62,2005,4,2,7,019133000778
3321.1082,1642,5939,8,1,62,2005,5,2,7,019133000778
3463.6667,1643,6539,8,1,62,2005,6,2,7,019133000778
3293.5618,1633,5939,8,1,62,2005,3,2,7,019133000778
3356.7373,1644,5939,8,1,62,2005,4,2,7,019133000778
3321.1082,1642,5939,8,1,62,2005,5,2,7,019133000778
3463.6667,1643,6539,8,1,62,2005,6,2,7,019133000778
3293.5618,838,1415,8,1,62,2005,3,2,7,019133000778
3356.7373,843,1415,8,1,62,2005,4,2,7,019133000778
3321.1082,843,1415,8,1,62,2005,5,2,7,019133000778
3463.6667,843,1415,8,1,62,2005,6,2,7,019133000778
5627.3774,1296,6073,62,1,50,2005,3,2,10,019133398099
5625.5723,1305,6373,62,1,50,2005,4,2,10,019133398099
5578.4629,1304,6373,62,1,50,2005,5,2,10,019133398099
5571.0166,1304,6373,62,1,50,2005,6,2,10,019133398099
5627.3774,1296,6073,62,1,50,2005,3,2,10,019133398099
5625.5723,1305,6373,62,1,50,2005,4,2,10,019133398099
5578.4629,1304,6373,62,1,50,2005,5,2,10,019133398099
5571.0166,1304,6373,62,1,50,2005,6,2,10,019133398099
5627.3774,1296,6073,62,1,50,2005,3,2,10,019133398099
