WHFNWGT,TFTOTINC,RFPOV,SSUSEQ,SROTATON,RHCALMN,RHCALYR,GVARSTR,GHLFSAM,GRGC,SSUID
1591.7405,11759,1873,35067,1,4,2010,107,2,52,837098241029
4415.2783,22530,1209,35066,1,1,2010,107,2,40,837098074655
4489.5459,22530,1209,35066,1,2,2010,107,2,40,837098074655
4545.4424,22530,1214,35066,1,3,2010,107,2,40,837098074655
4558.0439,22530,1216,35066,1,4,2010,107,2,40,837098074655
4415.2783,22530,1209,35066,1,1,2010,107,2,40,837098074655
4489.5459,22530,1209,35066,1,2,2010,107,2,40,837098074655
4545.4424,22530,1214,35066,1,3,2010,107,2,40,837098074655
4558.0439,22530,1216,35066,1,4,2010,107,2,40,837098074655
4537.3018,5772,1209,35065,1,1,2010,107,2,36,837098074553
4683.6147,5772,1209,35065,1,2,2010,107,2,36,837098074553
4705.2393,5772,1214,35065,1,3,2010,107,2,36,837098074553
4690.5840,5772,1216,35065,1,4,2010,107,2,36,837098074553
4537.3018,5772,1209,35065,1,1,2010,107,2,36,837098074553
4683.6147,5772,1209,35065,1,2,2010,107,2,36,837098074553
4705.2393,5772,1214,35065,1,3,2010,107,2,36,837098074553
4690.5840,5772,1216,35065,1,4,2010,107,2,36,837098074553
4710.1147,13670,1209,35064,1,1,2010,107,2,32,837098074319
4869.2837,13670,1209,35064,1,2,2010,107,2,32,837098074319
4921.8975,13670,1214,35064,1,3,2010,107,2,32,837098074319
4896.3691,13670,1216,35064,1,4,2010,107,2,32,837098074319
4710.1147,13670,1209,35064,1,1,2010,107,2,32,837098074319
4869.2837,13670,1209,35064,1,2,2010,107,2,32,837098074319
4921.8975,13670,1214,35064,1,3,2010,107,2,32,837098074319
4896.3691,13670,1216,35064,1,4,2010,107,2,32,837098074319
2733.8804,3534,1209,38832,2,2,2010,107,2,92,952735074482
2741.8599,3534,1214,38832,2,3,2010,107,2,92,952735074482
2752.0491,3534,1216,38832,2,4,2010,107,2,92,952735074482
2794.9221,3534,1217,38832,2,5,2010,107,2,92,952735074482
2733.8804,3534,1209,38832,2,2,2010,107,2,92,952735074482
2741.8599,3534,1214,38832,2,3,2010,107,2,92,952735074482
2752.0491,3534,1216,38832,2,4,2010,107,2,92,952735074482
2794.9221,3534,1217,38832,2,5,2010,107,2,92,952735074482
2838.7222,5575,2540,38136,2,2,2010,107,2,92,952013074482
2799.6951,5575,2550,38136,2,3,2010,107,2,92,952013074482
