WHFNWGT,TFTOTINC,RFPOV,SSUSEQ,SROTATON,RHCALMN,RHCALYR,GVARSTR,GHLFSAM,GRGC,SSUID
1683.8975,1604,945,33016,3,4,2010,108,2,49,811228123804
1637.8467,1604,946,33016,3,5,2010,108,2,49,811228123804
1635.7941,1604,945,33016,3,6,2010,108,2,49,811228123804
2219.4961,4000,943,33015,3,3,2010,108,1,5,811228123772
2338.4417,4000,945,33015,3,4,2010,108,1,5,811228123772
2241.9854,4000,946,33015,3,5,2010,108,1,5,811228123772
2293.9297,4000,945,33015,3,6,2010,108,1,5,811228123772
3359.4280,1825,1900,33306,3,3,2010,74,1,7,811925038440
3466.9683,1825,1904,33306,3,4,2010,74,1,7,811925038440
3537.0256,1825,1905,33306,3,5,2010,74,1,7,811925038440
3512.1250,1825,1903,33306,3,6,2010,74,1,7,811925038440
3359.4280,1825,1900,33306,3,3,2010,74,1,7,811925038440
3466.9683,1825,1904,33306,3,4,2010,74,1,7,811925038440
3537.0256,1825,1905,33306,3,5,2010,74,1,7,811925038440
3512.1250,1825,1903,33306,3,6,2010,74,1,7,811925038440
5161.6250,1566,943,33306,3,3,2010,74,1,7,811925038440
5165.2798,1566,945,33306,3,4,2010,74,1,7,811925038440
4921.3579,1566,946,33306,3,5,2010,74,1,7,811925038440
4915.5913,1566,945,33306,3,6,2010,74,1,7,811925038440
3359.4280,1825,1900,33306,3,3,2010,74,1,7,811925038440
3466.9683,1825,1904,33306,3,4,2010,74,1,7,811925038440
3537.0256,1825,1905,33306,3,5,2010,74,1,7,811925038440
3512.1250,1825,1903,33306,3,6,2010,74,1,7,811925038440
3359.4280,1825,1900,33306,3,3,2010,74,1,7,811925038440
3466.9683,1825,1904,33306,3,4,2010,74,1,7,811925038440
3537.0256,1825,1905,33306,3,5,2010,74,1,7,811925038440
3512.1250,1825,1903,33306,3,6,2010,74,1,7,811925038440
5161.6250,0,943,33306,3,3,2010,74,1,7,811925038440
5165.2798,0,945,33306,3,4,2010,74,1,7,811925038440
4921.3579,0,946,33306,3,5,2010,74,1,7,811925038440
4915.5913,0,945,33306,3,6,2010,74,1,7,811925038440
3417.0979,4833,943,33308,3,3,2010,74,2,41,811925038772
3335.8689,4833,945,33308,3,4,2010,74,2,41,811925038772
3372.7222,4833,946,33308,3,5,2010,74,2,41,811925038772
3389.4609,4833,945,33308,3,6,2010,74,2,41,811925038772
3417.0979,11250,943,33308,3,3,2010,74,2,41,811925038772
3335.8689,9584,945,33308,3,4,2010,74,2,41,811925038772
3372.7222,9584,946,33308,3,5,2010,74,2,41,811925038772
3389.4609,11250,945,33308,3,6,2010,74,2,41,811925038772
3471.7261,2165,1249,33308,3,3,2010,74,2,41,811925038772
3698.5442,2165,1252,33308,3,4,2010,74,2,41,811925038772
3867.7246,2165,1253,33308,3,5,2010,74,2,41,811925038772
3856.3008,2165,1251,33308,3,6,2010,74,2,41,811925038772
3471.7261,2165,1249,33308,3,3,2010,74,2,41,811925038772
3698.5442,2165,1252,33308,3,4,2010,74,2,41,811925038772
3867.7246,2165,1253,33308,3,5,2010,74,2,41,811925038772
3856.3008,2165,1251,33308,3,6,2010,74,2,41,811925038772
2399.4041,2747,869,33881,3,3,2010,74,2,66,811925916509
2483.3430,2747,871,33881,3,4,2010,74,2,66,811925916509
2451.5720,2747,871,33881,3,5,2010,74,2,66,811925916509
2448.4910,2747,871,33881,3,6,2010,74,2,66,811925916509
3724.3596,1,943,33880,3,3,2010,74,2,62,811925916440
3881.3850,1,945,33880,3,4,2010,74,2,62,811925916440
3876.8789,1,946,33880,3,5,2010,74,2,62,811925916440
3855.0801,3941,945,33880,3,6,2010,74,2,62,811925916440
3181.5378,1400,1461,33758,3,3,2010,37,2,84,811925679040
3389.3970,1400,1463,33758,3,4,2010,37,2,84,811925679040
3544.4358,1400,1464,33758,3,5,2010,37,2,84,811925679040
3533.9673,1400,1463,33758,3,6,2010,37,2,84,811925679040
3181.5378,2338,943,33758,3,3,2010,37,2,84,811925679040
3389.3970,2338,945,33758,3,4,2010,37,2,84,811925679040
3544.4358,2338,946,33758,3,5,2010,37,2,84,811925679040
3533.9673,2338,945,33758,3,6,2010,37,2,84,811925679040
3181.5378,1400,1461,33758,3,3,2010,37,2,84,811925679040
3389.3970,1400,1463,33758,3,4,2010,37,2,84,811925679040
3544.4358,1400,1464,33758,3,5,2010,37,2,84,811925679040
3533.9673,1400,1463,33758,3,6,2010,37,2,84,811925679040
3181.5378,1400,1461,33758,3,3,2010,37,2,84,811925679040
3389.3970,1400,1463,33758,3,4,2010,37,2,84,811925679040
3544.4358,1400,1464,33758,3,5,2010,37,2,84,811925679040
3533.9673,1400,1463,33758,3,6,2010,37,2,84,811925679040
3604.4570,7426,1214,33762,3,3,2010,37,2,46,811925679772
3610.8003,6926,1216,33762,3,4,2010,37,2,46,811925679772
3751.6655,6926,1217,33762,3,5,2010,37,2,46,811925679772
3686.2573,6926,1216,33762,3,6,2010,37,2,46,811925679772
3604.4570,7426,1214,33762,3,3,2010,37,2,46,811925679772
3610.8003,6926,1216,33762,3,4,2010,37,2,46,811925679772
3751.6655,6926,1217,33762,3,5,2010,37,2,46,811925679772
3686.2573,6926,1216,33762,3,6,2010,37,2,46,811925679772
2466.6494,2826,1096,33760,3,3,2010,58,2,76,811925679420
2414.8931,2826,1098,33760,3,4,2010,58,2,76,811925679420
2397.1812,2826,1099,33760,3,5,2010,58,2,76,811925679420
2358.6421,2826,1097,33760,3,6,2010,58,2,76,811925679420
2466.6494,2826,1096,33760,3,3,2010,58,2,76,811925679420
2414.8931,2826,1098,33760,3,4,2010,58,2,76,811925679420
2397.1812,2826,1099,33760,3,5,2010,58,2,76,811925679420
2358.6421,2826,1097,33760,3,6,2010,58,2,76,811925679420
2668.6711,3335,869,33698,3,3,2010,58,2,72,811925489138
2698.1538,2681,871,33698,3,4,2010,58,2,72,811925489138
2605.0142,2681,871,33698,3,5,2010,58,2,72,811925489138
2612.2117,3335,871,33698,3,6,2010,58,2,72,811925489138
3015.8264,16255,943,33697,3,3,2010,58,1,68,811925489040
3105.6594,16255,945,33697,3,4,2010,58,1,68,811925489040
3167.5828,16255,946,33697,3,5,2010,58,1,68,811925489040
3127.8718,16255,945,33697,3,6,2010,58,1,68,811925489040
2676.6509,8207,1870,33455,3,3,2010,58,1,68,811925235040
2699.1477,6057,1873,33455,3,4,2010,58,1,68,811925235040
2656.9026,6182,1874,33455,3,5,2010,58,1,68,811925235040
2672.1541,7982,1873,33455,3,6,2010,58,1,68,811925235040
2676.6509,8207,1870,33455,3,3,2010,58,1,68,811925235040
2699.1477,6057,1873,33455,3,4,2010,58,1,68,811925235040
2656.9026,6182,1874,33455,3,5,2010,58,1,68,811925235040
2672.1541,7982,1873,33455,3,6,2010,58,1,68,811925235040
2676.6509,8207,1870,33455,3,3,2010,58,1,68,811925235040
2699.1477,6057,1873,33455,3,4,2010,58,1,68,811925235040
2656.9026,6182,1874,33455,3,5,2010,58,1,68,811925235040
2672.1541,7982,1873,33455,3,6,2010,58,1,68,811925235040
2676.6509,8207,1870,33455,3,3,2010,58,1,68,811925235040
2699.1477,6057,1873,33455,3,4,2010,58,1,68,811925235040
2656.9026,6182,1874,33455,3,5,2010,58,1,68,811925235040
2672.1541,7982,1873,33455,3,6,2010,58,1,68,811925235040
2518.3833,1400,869,33699,3,3,2010,58,1,60,811925489420
2525.9680,1400,871,33699,3,4,2010,58,1,60,811925489420
2520.7192,1400,871,33699,3,5,2010,58,1,60,811925489420
2640.1208,1400,871,33699,3,6,2010,58,1,60,811925489420
2272.8635,33085,1459,33601,3,3,2010,97,1,48,811925404440
2303.5618,32508,1462,33601,3,4,2010,97,1,48,811925404440
2277.3469,32508,1463,33601,3,5,2010,97,1,48,811925404440
2272.4414,33085,1461,33601,3,6,2010,97,1,48,811925404440
2272.8635,33085,1459,33601,3,3,2010,97,1,48,811925404440
2303.5618,32508,1462,33601,3,4,2010,97,1,48,811925404440
2277.3469,32508,1463,33601,3,5,2010,97,1,48,811925404440
2272.4414,33085,1461,33601,3,6,2010,97,1,48,811925404440
2272.8635,33085,1459,33601,3,3,2010,97,1,48,811925404440
2303.5618,32508,1462,33601,3,4,2010,97,1,48,811925404440
2277.3469,32508,1463,33601,3,5,2010,97,1,48,811925404440
2272.4414,33085,1461,33601,3,6,2010,97,1,48,811925404440
3455.8767,9169,1459,33603,3,3,2010,97,2,82,811925404804
3441.1094,10169,1462,33603,3,4,2010,97,2,82,811925404804
3560.5596,11169,1463,33603,3,5,2010,97,2,82,811925404804
3470.4414,11169,1461,33603,3,6,2010,97,2,82,811925404804
3455.8767,9169,1459,33603,3,3,2010,97,2,82,811925404804
3441.1094,10169,1462,33603,3,4,2010,97,2,82,811925404804
3560.5596,11169,1463,33603,3,5,2010,97,2,82,811925404804
3470.4414,11169,1461,33603,3,6,2010,97,2,82,811925404804
3455.8767,9169,1459,33603,3,3,2010,97,2,82,811925404804
3441.1094,10169,1462,33603,3,4,2010,97,2,82,811925404804
3560.5596,11169,1463,33603,3,5,2010,97,2,82,811925404804
3470.4414,11169,1461,33603,3,6,2010,97,2,82,811925404804
2647.7939,4300,1214,33597,3,3,2010,97,2,6,811925392509
2542.0234,4471,1216,33597,3,4,2010,97,2,6,811925392509
2367.2366,4471,1217,33597,3,5,2010,97,2,6,811925392509
2390.9961,4471,1216,33597,3,6,2010,97,2,6,811925392509
2647.7939,4300,1214,33597,3,3,2010,97,2,6,811925392509
2542.0234,4471,1216,33597,3,4,2010,97,2,6,811925392509
2367.2366,4471,1217,33597,3,5,2010,97,2,6,811925392509
2390.9961,4471,1216,33597,3,6,2010,97,2,6,811925392509
3575.7129,18623,1214,33595,3,3,2010,27,1,2,811925392040
3720.9688,18623,1216,33595,3,4,2010,27,1,2,811925392040
3573.0999,18623,1217,33595,3,5,2010,27,1,2,811925392040
3642.4954,23623,1216,33595,3,6,2010,27,1,2,811925392040
3575.7129,18623,1214,33595,3,3,2010,27,1,2,811925392040
3720.9688,18623,1216,33595,3,4,2010,27,1,2,811925392040
3573.0999,18623,1217,33595,3,5,2010,27,1,2,811925392040
3642.4954,23623,1216,33595,3,6,2010,27,1,2,811925392040
2573.9749,17928,1418,33600,3,3,2010,27,2,99,811925392804
2525.5898,17928,1420,33600,3,4,2010,27,2,99,811925392804
2490.3999,17928,1422,33600,3,5,2010,27,2,99,811925392804
2453.0405,17928,1420,33600,3,6,2010,27,2,99,811925392804
2573.9749,17928,1418,33600,3,3,2010,27,2,99,811925392804
2525.5898,17928,1420,33600,3,4,2010,27,2,99,811925392804
2490.3999,17928,1422,33600,3,5,2010,27,2,99,811925392804
2453.0405,17928,1420,33600,3,6,2010,27,2,99,811925392804
2573.9749,17928,1418,33600,3,3,2010,27,2,99,811925392804
2525.5898,17928,1420,33600,3,4,2010,27,2,99,811925392804
2490.3999,17928,1422,33600,3,5,2010,27,2,99,811925392804
2453.0405,17928,1420,33600,3,6,2010,27,2,99,811925392804
2673.1711,18483,1418,33599,3,3,2010,27,1,28,811925392772
2609.5801,18923,1420,33599,3,4,2010,27,1,28,811925392772
2484.0972,15146,1217,33599,3,5,2010,27,1,28,811925392772
2579.5276,12986,1216,33599,3,6,2010,27,1,28,811925392772
2673.1711,18483,1418,33599,3,3,2010,27,1,28,811925392772
2609.5801,18923,1420,33599,3,4,2010,27,1,28,811925392772
2673.1711,18483,1418,33599,3,3,2010,27,1,28,811925392772
2609.5801,18923,1420,33599,3,4,2010,27,1,28,811925392772
2484.0972,15146,1217,33599,3,5,2010,27,1,28,811925392772
