WHFNWGT,RFPOV,TFTOTINC,GRGC,GHLFSAM,GVARSTR,RHCALYR,RHCALMN,SROTATON,SSUSEQ,SSUID
806.1073,2152,4000,29,2,9,2004,3,2,26379,679925104948
798.6252,2159,4000,29,2,9,2004,4,2,26379,679925104948
789.7550,2171,4275,29,2,9,2004,5,2,26379,679925104948
813.8071,2178,4600,29,2,9,2004,6,2,26379,679925104948
806.1073,2152,4000,29,2,9,2004,3,2,26379,679925104948
798.6252,2159,4000,29,2,9,2004,4,2,26379,679925104948
789.7550,2171,4275,29,2,9,2004,5,2,26379,679925104948
813.8071,2178,4600,29,2,9,2004,6,2,26379,679925104948
1734.8645,2569,1055,73,1,109,2004,3,2,26380,679925115125
1784.2990,2577,1055,73,1,109,2004,4,2,26380,679925115125
1845.8757,2591,1921,73,1,109,2004,5,2,26380,679925115125
1855.3521,2600,1921,73,1,109,2004,6,2,26380,679925115125
1734.8645,2569,1055,73,1,109,2004,3,2,26380,679925115125
1784.2990,2577,1055,73,1,109,2004,4,2,26380,679925115125
1845.8757,2591,1921,73,1,109,2004,5,2,26380,679925115125
1855.3521,2600,1921,73,1,109,2004,6,2,26380,679925115125
1734.8645,2569,1055,73,1,109,2004,3,2,26380,679925115125
1784.2990,2577,1055,73,1,109,2004,4,2,26380,679925115125
1845.8757,2591,1921,73,1,109,2004,5,2,26380,679925115125
1855.3521,2600,1921,73,1,109,2004,6,2,26380,679925115125
1734.8645,2569,1055,73,1,109,2004,3,2,26380,679925115125
1784.2990,2577,1055,73,1,109,2004,4,2,26380,679925115125
1845.8757,2591,1921,73,1,109,2004,5,2,26380,679925115125
1855.3521,2600,1921,73,1,109,2004,6,2,26380,679925115125
1734.8645,2569,1055,73,1,109,2004,3,2,26380,679925115125
1784.2990,2577,1055,73,1,109,2004,4,2,26380,679925115125
1845.8757,2591,1921,73,1,109,2004,5,2,26380,679925115125
1855.3521,2600,1921,73,1,109,2004,6,2,26380,679925115125
1734.8645,2569,1055,73,1,109,2004,3,2,26380,679925115125
1784.2990,2577,1055,73,1,109,2004,4,2,26380,679925115125
1845.8757,2591,1921,73,1,109,2004,5,2,26380,679925115125
1855.3521,2600,1921,73,1,109,2004,6,2,26380,679925115125
1734.8645,2569,1055,73,1,109,2004,3,2,26380,679925115125
1784.2990,2577,1055,73,1,109,2004,4,2,26380,679925115125
1845.8757,2591,1921,73,1,109,2004,5,2,26380,679925115125
1855.3521,2600,1921,73,1,109,2004,6,2,26380,679925115125
1734.8645,2569,1055,73,1,109,2004,3,2,26380,679925115125
1784.2990,2577,1055,73,1,109,2004,4,2,26380,679925115125
1845.8757,2591,1921,73,1,109,2004,5,2,26380,679925115125
1855.3521,2600,1921,73,1,109,2004,6,2,26380,679925115125
1892.0151,1221,2260,96,2,90,2004,3,2,26381,679925115162
1911.3547,1225,2260,96,2,90,2004,4,2,26381,679925115162
1888.5376,1232,2260,96,2,90,2004,5,2,26381,679925115162
