WHFNWGT,RFPOV,TFTOTINC,GRGC,GHLFSAM,GVARSTR,RHCALYR,RHCALMN,SROTATON,SSUSEQ,SSUID
2896.6008,1000,3844,43,1,95,2006,2,4,5657,203344784035
2920.1047,1006,3844,43,1,95,2006,3,4,5657,203344784035
2848.8765,1014,3844,43,1,95,2006,4,4,5657,203344784035
2934.0410,998,3844,43,1,95,2006,1,4,5657,203344784035
2896.6008,1000,3844,43,1,95,2006,2,4,5657,203344784035
2920.1047,1006,3844,43,1,95,2006,3,4,5657,203344784035
2848.8765,1014,3844,43,1,95,2006,4,4,5657,203344784035
5513.9868,859,5509,101,2,75,2006,1,4,5659,203344784334
5516.5708,861,5509,101,2,75,2006,2,4,5659,203344784334
5663.1245,866,5509,101,2,75,2006,3,4,5659,203344784334
5699.2051,873,5509,101,2,75,2006,4,4,5659,203344784334
5327.5933,1329,5088,97,2,75,2006,1,4,5661,203344784567
5348.9648,1332,5088,97,2,75,2006,2,4,5661,203344784567
5279.8706,1340,5088,97,2,75,2006,3,4,5661,203344784567
5308.4395,1351,5088,97,2,75,2006,4,4,5661,203344784567
5327.5933,1329,5088,97,2,75,2006,1,4,5661,203344784567
5348.9648,1332,5088,97,2,75,2006,2,4,5661,203344784567
5279.8706,1340,5088,97,2,75,2006,3,4,5661,203344784567
5308.4395,1351,5088,97,2,75,2006,4,4,5661,203344784567
5327.5933,1329,5088,97,2,75,2006,1,4,5661,203344784567
5348.9648,1332,5088,97,2,75,2006,2,4,5661,203344784567
5279.8706,1340,5088,97,2,75,2006,3,4,5661,203344784567
5308.4395,1351,5088,97,2,75,2006,4,4,5661,203344784567
6480.7910,1106,7364,21,1,51,2006,1,4,5662,203344796046
6513.8838,1108,12768,21,1,51,2006,2,4,5662,203344796046
6699.6992,1114,8448,21,1,51,2006,3,4,5662,203344796046
6781.6475,1124,8448,21,1,51,2006,4,4,5662,203344796046
6480.7910,1106,7364,21,1,51,2006,1,4,5662,203344796046
6513.8838,1108,12768,21,1,51,2006,2,4,5662,203344796046
6699.6992,1114,8448,21,1,51,2006,3,4,5662,203344796046
6781.6475,1124,8448,21,1,51,2006,4,4,5662,203344796046
3214.3804,1106,4480,3,1,16,2006,1,4,5663,203344796183
3245.8962,1108,4480,3,1,16,2006,2,4,5663,203344796183
3315.0640,1114,4480,3,1,16,2006,3,4,5663,203344796183
3415.9885,1124,4480,3,1,16,2006,4,4,5663,203344796183
3214.3804,1106,4480,3,1,16,2006,1,4,5663,203344796183
3245.8962,1108,4480,3,1,16,2006,2,4,5663,203344796183
3315.0640,1114,4480,3,1,16,2006,3,4,5663,203344796183
3415.9885,1124,4480,3,1,16,2006,4,4,5663,203344796183
5993.8618,859,978,101,1,82,2006,1,4,5664,203344796392
6012.6763,861,978,101,1,82,2006,2,4,5664,203344796392
6163.3789,866,978,101,1,82,2006,3,4,5664,203344796392
6409.1016,873,978,101,1,82,2006,4,4,5664,203344796392
2763.2556,859,1154,98,1,64,2006,1,4,5665,203344796516
2856.8911,861,1154,98,1,64,2006,2,4,5665,203344796516
2756.6199,866,1154,98,1,64,2006,3,4,5665,203344796516
2658.4556,873,1154,98,1,64,2006,4,4,5665,203344796516
6564.6719,1106,5460,5,2,108,2006,1,4,5667,203344796531
6577.4258,1108,5460,5,2,108,2006,2,4,5667,203344796531
6643.0649,1114,5655,5,2,108,2006,3,4,5667,203344796531
6732.6670,1124,5460,5,2,108,2006,4,4,5667,203344796531
6564.6719,1106,5460,5,2,108,2006,1,4,5667,203344796531
6577.4258,1108,5460,5,2,108,2006,2,4,5667,203344796531
6643.0649,1114,5655,5,2,108,2006,3,4,5667,203344796531
6732.6670,1124,5460,5,2,108,2006,4,4,5667,203344796531
7487.3838,792,828,13,1,97,2006,1,4,5669,203344796686
7635.6475,794,828,13,1,97,2006,2,4,5669,203344796686
7686.3174,798,828,13,1,97,2006,3,4,5669,203344796686
