WHFNWGT,RFPOV,TFTOTINC,GRGC,GHLFSAM,GVARSTR,RHCALYR,RHCALMN,SROTATON,SSUSEQ,SSUID
3910.0522,861,1200,69,2,82,2006,2,3,34266,811925123944
3979.7581,866,1200,69,2,82,2006,3,3,34266,811925123944
1782.7141,853,2822,90,2,77,2005,12,3,34267,811925123956
1813.4977,859,2822,90,2,77,2006,1,3,34267,811925123956
1839.1975,861,2822,90,2,77,2006,2,3,34267,811925123956
1808.0470,866,2822,90,2,77,2006,3,3,34267,811925123956
1733.1707,1097,8700,82,2,77,2005,12,3,34268,811925123957
1765.4886,1106,8700,82,2,77,2006,1,3,34268,811925123957
1770.5869,1108,8700,82,2,77,2006,2,3,34268,811925123957
1767.4934,1114,8700,82,2,77,2006,3,3,34268,811925123957
1733.1707,1097,8700,82,2,77,2005,12,3,34268,811925123957
1765.4886,1106,8700,82,2,77,2006,1,3,34268,811925123957
1770.5869,1108,8700,82,2,77,2006,2,3,34268,811925123957
1767.4934,1114,8700,82,2,77,2006,3,3,34268,811925123957
2783.6899,1956,5623,81,2,7,2005,12,3,34270,811925123994
2860.0298,1971,5623,81,2,7,2006,1,3,34270,811925123994
2919.5488,1975,5623,81,2,7,2006,2,3,34270,811925123994
2774.8174,1986,5623,81,2,7,2006,3,3,34270,811925123994
2783.6899,1956,5623,81,2,7,2005,12,3,34270,811925123994
2860.0298,1971,5623,81,2,7,2006,1,3,34270,811925123994
2919.5488,1975,5623,81,2,7,2006,2,3,34270,811925123994
2774.8174,1986,5623,81,2,7,2006,3,3,34270,811925123994
2783.6899,1956,5623,81,2,7,2005,12,3,34270,811925123994
2860.0298,1971,5623,81,2,7,2006,1,3,34270,811925123994
2919.5488,1975,5623,81,2,7,2006,2,3,34270,811925123994
2774.8174,1986,5623,81,2,7,2006,3,3,34270,811925123994
2783.6899,1956,5623,81,2,7,2005,12,3,34270,811925123994
2860.0298,1971,5623,81,2,7,2006,1,3,34270,811925123994
2919.5488,1975,5623,81,2,7,2006,2,3,34270,811925123994
2774.8174,1986,5623,81,2,7,2006,3,3,34270,811925123994
2783.6899,1956,5623,81,2,7,2005,12,3,34270,811925123994
2860.0298,1971,5623,81,2,7,2006,1,3,34270,811925123994
2919.5488,1975,5623,81,2,7,2006,2,3,34270,811925123994
2774.8174,1986,5623,81,2,7,2006,3,3,34270,811925123994
1239.6025,1097,5524,18,1,48,2005,12,3,34271,811925130086
1254.2935,1106,5824,18,1,48,2006,1,3,34271,811925130086
1267.1766,1108,5524,18,1,48,2006,2,3,34271,811925130086
1261.7878,1114,5759,18,1,48,2006,3,3,34271,811925130086
1239.6025,1097,5524,18,1,48,2005,12,3,34271,811925130086
1254.2935,1106,5824,18,1,48,2006,1,3,34271,811925130086
1267.1766,1108,5524,18,1,48,2006,2,3,34271,811925130086
1261.7878,1114,5759,18,1,48,2006,3,3,34271,811925130086
2500.2429,1662,8323,14,1,48,2005,12,3,34272,811925130174
2581.2954,1675,8323,14,1,48,2006,1,3,34272,811925130174
2661.2935,1678,8323,14,1,48,2006,2,3,34272,811925130174
2690.5063,1688,8323,14,1,48,2006,3,3,34272,811925130174
2500.2429,1662,8323,14,1,48,2005,12,3,34272,811925130174
2581.2954,1675,8323,14,1,48,2006,1,3,34272,811925130174
2661.2935,1678,8323,14,1,48,2006,2,3,34272,811925130174
2690.5063,1688,8323,14,1,48,2006,3,3,34272,811925130174
2500.2429,1662,8323,14,1,48,2005,12,3,34272,811925130174
2581.2954,1675,8323,14,1,48,2006,1,3,34272,811925130174
2661.2935,1678,8323,14,1,48,2006,2,3,34272,811925130174
2690.5063,1688,8323,14,1,48,2006,3,3,34272,811925130174
2500.2429,1662,8323,14,1,48,2005,12,3,34272,811925130174
2581.2954,1675,8323,14,1,48,2006,1,3,34272,811925130174
2661.2935,1678,8323,14,1,48,2006,2,3,34272,811925130174
2690.5063,1688,8323,14,1,48,2006,3,3,34272,811925130174
1200.6665,991,905,15,1,48,2005,12,3,34273,811925130283
1181.0569,998,924,15,1,48,2006,1,3,34273,811925130283
1216.8179,1000,924,15,1,48,2006,2,3,34273,811925130283
1151.4734,1006,924,15,1,48,2006,3,3,34273,811925130283
