WHFNWGT,TFTOTINC,RFPOV,SSUSEQ,SROTATON,RHCALMN,RHCALYR,GVARSTR,GHLFSAM,GRGC,SSUID
6131.8833,12416,1513,19070,4,6,2011,49,1,18,557562469828
6181.0649,12657,1515,19070,4,7,2011,49,1,18,557562469828
5070.5313,2128,975,18832,4,4,2011,51,2,85,557344730240
5086.8315,2128,979,18832,4,5,2011,51,2,85,557344730240
5146.9038,2128,978,18832,4,6,2011,51,2,85,557344730240
4884.5864,2128,979,18832,4,7,2011,51,2,85,557344730240
4838.1245,1340,975,18673,4,4,2011,51,2,43,557344019027
5148.8135,1340,979,18673,4,5,2011,51,2,43,557344019027
4933.6172,1340,978,18673,4,6,2011,51,2,43,557344019027
4889.6235,1340,979,18673,4,7,2011,51,2,43,557344019027
3830.1755,11640,2635,18675,4,4,2011,51,1,39,557344019240
3746.0107,11640,2648,18675,4,5,2011,51,1,39,557344019240
3736.3777,11640,2645,18675,4,6,2011,51,1,39,557344019240
3953.5884,11640,2647,18675,4,7,2011,51,1,39,557344019240
3830.1755,11640,2635,18675,4,4,2011,51,1,39,557344019240
3746.0107,11640,2648,18675,4,5,2011,51,1,39,557344019240
3736.3777,11640,2645,18675,4,6,2011,51,1,39,557344019240
3953.5884,11640,2647,18675,4,7,2011,51,1,39,557344019240
3830.1755,11640,2635,18675,4,4,2011,51,1,39,557344019240
3746.0107,11640,2648,18675,4,5,2011,51,1,39,557344019240
3736.3777,11640,2645,18675,4,6,2011,51,1,39,557344019240
3953.5884,11640,2647,18675,4,7,2011,51,1,39,557344019240
3830.1755,11640,2635,18675,4,4,2011,51,1,39,557344019240
3746.0107,11640,2648,18675,4,5,2011,51,1,39,557344019240
3736.3777,11640,2645,18675,4,6,2011,51,1,39,557344019240
3953.5884,11640,2647,18675,4,7,2011,51,1,39,557344019240
3830.1755,11640,2635,18675,4,4,2011,51,1,39,557344019240
3746.0107,11640,2648,18675,4,5,2011,51,1,39,557344019240
3736.3777,11640,2645,18675,4,6,2011,51,1,39,557344019240
3953.5884,11640,2647,18675,4,7,2011,51,1,39,557344019240
3830.1755,11640,2635,18675,4,4,2011,51,1,39,557344019240
3746.0107,11640,2648,18675,4,5,2011,51,1,39,557344019240
3736.3777,11640,2645,18675,4,6,2011,51,1,39,557344019240
3953.5884,11640,2647,18675,4,7,2011,51,1,39,557344019240
5631.4370,4635,1465,18676,4,4,2011,81,2,33,557344019788
5768.9897,4635,1472,18676,4,5,2011,81,2,33,557344019788
5950.1411,4635,1471,18676,4,6,2011,81,2,33,557344019788
6177.9575,4635,1472,18676,4,7,2011,81,2,33,557344019788
5631.4370,4635,1465,18676,4,4,2011,81,2,33,557344019788
