WHFNWGT,TFTOTINC,RFPOV,SSUSEQ,SROTATON,RHCALMN,RHCALYR,GVARSTR,GHLFSAM,GRGC,SSUID
2805.1572,13298,1484,26236,1,2,2011,16,1,40,685925074346
2762.1221,8598,1498,26236,1,3,2011,16,1,40,685925074346
2706.0186,8348,1508,26236,1,4,2011,16,1,40,685925074346
2816.9736,9348,1477,26236,1,1,2011,16,1,40,685925074346
2805.1572,13298,1484,26236,1,2,2011,16,1,40,685925074346
2762.1221,8598,1498,26236,1,3,2011,16,1,40,685925074346
2706.0186,8348,1508,26236,1,4,2011,16,1,40,685925074346
2816.9736,9348,1477,26236,1,1,2011,16,1,40,685925074346
2805.1572,13298,1484,26236,1,2,2011,16,1,40,685925074346
2762.1221,8598,1498,26236,1,3,2011,16,1,40,685925074346
2706.0186,8348,1508,26236,1,4,2011,16,1,40,685925074346
2374.8198,2412,959,9007,2,2,2011,11,1,90,315925811497
2211.0593,2412,968,9007,2,3,2011,11,1,90,315925811497
2211.5569,2412,975,9007,2,4,2011,11,1,90,315925811497
2262.2529,2412,979,9007,2,5,2011,11,1,90,315925811497
3413.5588,2250,1484,9007,2,2,2011,11,1,90,315925811497
3303.8198,2250,1498,9007,2,3,2011,11,1,90,315925811497
3328.0383,2250,1508,9007,2,4,2011,11,1,90,315925811497
3429.8845,2250,1515,9007,2,5,2011,11,1,90,315925811497
3413.5588,2250,1484,9007,2,2,2011,11,1,90,315925811497
3303.8198,2250,1498,9007,2,3,2011,11,1,90,315925811497
3328.0383,2250,1508,9007,2,4,2011,11,1,90,315925811497
3429.8845,2250,1515,9007,2,5,2011,11,1,90,315925811497
3413.5588,2250,1484,9007,2,2,2011,11,1,90,315925811497
3303.8198,2250,1498,9007,2,3,2011,11,1,90,315925811497
3328.0383,2250,1508,9007,2,4,2011,11,1,90,315925811497
3429.8845,2250,1515,9007,2,5,2011,11,1,90,315925811497
6113.5894,781,959,8811,2,2,2011,11,2,86,315925697466
6495.1675,781,968,8811,2,3,2011,11,2,86,315925697466
6294.8252,781,975,8811,2,4,2011,11,2,86,315925697466
6169.2163,781,979,8811,2,5,2011,11,2,86,315925697466
2803.1877,211,1271,8813,2,2,2011,78,1,74,315925697779
2759.7441,211,1283,8813,2,3,2011,78,1,74,315925697779
2862.3389,211,1291,8813,2,4,2011,78,1,74,315925697779
2892.4622,211,1297,8813,2,5,2011,78,1,74,315925697779
2803.1877,211,1271,8813,2,2,2011,78,1,74,315925697779
2759.7441,211,1283,8813,2,3,2011,78,1,74,315925697779
2862.3389,211,1291,8813,2,4,2011,78,1,74,315925697779
2892.4622,211,1297,8813,2,5,2011,78,1,74,315925697779
5400.0757,1633,959,8572,2,2,2011,42,2,59,315925437466
5575.7515,8346,968,8572,2,3,2011,42,2,59,315925437466
5518.0225,8346,975,8572,2,4,2011,42,2,59,315925437466
5578.2046,8346,979,8572,2,5,2011,42,2,59,315925437466
4054.9475,4341,884,8573,2,2,2011,109,1,88,315925437497
4021.5520,4341,893,8573,2,3,2011,109,1,88,315925437497
4079.5425,4341,898,8573,2,4,2011,109,1,88,315925437497
4198.0005,4341,903,8573,2,5,2011,109,1,88,315925437497
5350.8481,2445,1869,8588,2,2,2011,20,1,69,315925444346
5453.8115,2445,1888,8588,2,3,2011,20,1,69,315925444346
5406.3101,2445,1900,8588,2,4,2011,20,1,69,315925444346
5224.5806,2445,1909,8588,2,5,2011,20,1,69,315925444346
5350.8481,2445,1869,8588,2,2,2011,20,1,69,315925444346
5453.8115,2445,1888,8588,2,3,2011,20,1,69,315925444346
5406.3101,2445,1900,8588,2,4,2011,20,1,69,315925444346
5224.5806,2445,1909,8588,2,5,2011,20,1,69,315925444346
5350.8481,2445,1869,8588,2,2,2011,20,1,69,315925444346
5453.8115,2445,1888,8588,2,3,2011,20,1,69,315925444346
5406.3101,2445,1900,8588,2,4,2011,20,1,69,315925444346
5224.5806,2445,1909,8588,2,5,2011,20,1,69,315925444346
5350.8481,2445,1869,8588,2,2,2011,20,1,69,315925444346
5453.8115,2445,1888,8588,2,3,2011,20,1,69,315925444346
5406.3101,2445,1900,8588,2,4,2011,20,1,69,315925444346
5224.5806,2445,1909,8588,2,5,2011,20,1,69,315925444346
3700.5510,5196,1114,8591,2,2,2011,34,2,65,315925444497
3720.5908,5196,1125,8591,2,3,2011,34,2,65,315925444497
3727.5200,5196,1132,8591,2,4,2011,34,2,65,315925444497
3663.6011,5196,1138,8591,2,5,2011,34,2,65,315925444497
3700.5510,5196,1114,8591,2,2,2011,34,2,65,315925444497
3720.5908,5196,1125,8591,2,3,2011,34,2,65,315925444497
3727.5200,5196,1132,8591,2,4,2011,34,2,65,315925444497
3663.6011,5196,1138,8591,2,5,2011,34,2,65,315925444497
4864.0347,6925,1234,8161,2,2,2011,55,1,49,315925074229
4895.2754,6925,1246,8161,2,3,2011,55,1,49,315925074229
4884.8325,6925,1254,8161,2,4,2011,55,1,49,315925074229
4823.5068,6925,1260,8161,2,5,2011,55,1,49,315925074229
4864.0347,6925,1234,8161,2,2,2011,55,1,49,315925074229
4895.2754,6925,1246,8161,2,3,2011,55,1,49,315925074229
4884.8325,6925,1254,8161,2,4,2011,55,1,49,315925074229
4823.5068,6925,1260,8161,2,5,2011,55,1,49,315925074229
5417.8511,5168,1234,8168,2,2,2011,55,2,76,315925074466
5344.0117,4668,1246,8168,2,3,2011,55,2,76,315925074466
5497.2144,4668,1254,8168,2,4,2011,55,2,76,315925074466
5602.8408,4668,1260,8168,2,5,2011,55,2,76,315925074466
5417.8511,5168,1234,8168,2,2,2011,55,2,76,315925074466
5344.0117,4668,1246,8168,2,3,2011,55,2,76,315925074466
5497.2144,4668,1254,8168,2,4,2011,55,2,76,315925074466
5602.8408,4668,1260,8168,2,5,2011,55,2,76,315925074466
2431.8264,5888,1246,40895,3,3,2011,11,1,98,955925697501
2379.0479,5888,1254,40895,3,4,2011,11,1,98,955925697501
2429.3613,5888,1260,40895,3,5,2011,11,1,98,955925697501
2404.1763,5888,1259,40895,3,6,2011,11,1,98,955925697501
2431.8264,5888,1246,40895,3,3,2011,11,1,98,955925697501
2379.0479,5888,1254,40895,3,4,2011,11,1,98,955925697501
2429.3613,5888,1260,40895,3,5,2011,11,1,98,955925697501
2404.1763,5888,1259,40895,3,6,2011,11,1,98,955925697501
4381.8701,4517,2349,40893,3,3,2011,11,2,87,955925697466
4372.1343,4517,2364,40893,3,4,2011,11,2,87,955925697466
4686.4004,4517,2375,40893,3,5,2011,11,2,87,955925697466
4834.0669,3717,2373,40893,3,6,2011,11,2,87,955925697466
4381.8701,4517,2349,40893,3,3,2011,11,2,87,955925697466
4372.1343,4517,2364,40893,3,4,2011,11,2,87,955925697466
4686.4004,4517,2375,40893,3,5,2011,11,2,87,955925697466
4834.0669,3717,2373,40893,3,6,2011,11,2,87,955925697466
4381.8701,4517,2349,40893,3,3,2011,11,2,87,955925697466
4372.1343,4517,2364,40893,3,4,2011,11,2,87,955925697466
4686.4004,4517,2375,40893,3,5,2011,11,2,87,955925697466
4834.0669,3717,2373,40893,3,6,2011,11,2,87,955925697466
4381.8701,4517,2349,40893,3,3,2011,11,2,87,955925697466
4372.1343,4517,2364,40893,3,4,2011,11,2,87,955925697466
4686.4004,4517,2375,40893,3,5,2011,11,2,87,955925697466
4834.0669,3717,2373,40893,3,6,2011,11,2,87,955925697466
4381.8701,4517,2349,40893,3,3,2011,11,2,87,955925697466
4372.1343,4517,2364,40893,3,4,2011,11,2,87,955925697466
