WHFNWGT,TFTOTINC,RFPOV,SSUSEQ,SROTATON,RHCALMN,RHCALYR,GVARSTR,GHLFSAM,GRGC,SSUID
4211.6743,3336,1853,27436,1,2,2009,16,2,18,685925944414
4231.4839,3336,1857,27436,1,3,2009,16,2,18,685925944414
4213.5835,3336,1862,27436,1,4,2009,16,2,18,685925944414
3385.5029,4019,1376,27437,1,1,2009,12,1,17,685925944466
3449.0032,3749,1383,27437,1,2,2009,12,1,17,685925944466
3490.6147,3749,1386,27437,1,3,2009,12,1,17,685925944466
3470.0530,3749,1389,27437,1,4,2009,12,1,17,685925944466
3385.5029,4019,1376,27437,1,1,2009,12,1,17,685925944466
3449.0032,3749,1383,27437,1,2,2009,12,1,17,685925944466
3490.6147,3749,1386,27437,1,3,2009,12,1,17,685925944466
3470.0530,3749,1389,27437,1,4,2009,12,1,17,685925944466
3385.5029,4019,1376,27437,1,1,2009,12,1,17,685925944466
3449.0032,3749,1383,27437,1,2,2009,12,1,17,685925944466
3490.6147,3749,1386,27437,1,3,2009,12,1,17,685925944466
3470.0530,3749,1389,27437,1,4,2009,12,1,17,685925944466
2384.1636,11110,1844,27438,1,1,2009,20,2,68,685925944483
2388.4946,11110,1853,27438,1,2,2009,20,2,68,685925944483
2406.3320,11510,1857,27438,1,3,2009,20,2,68,685925944483
2414.2349,11510,1862,27438,1,4,2009,20,2,68,685925944483
2384.1636,11110,1844,27438,1,1,2009,20,2,68,685925944483
2388.4946,11110,1853,27438,1,2,2009,20,2,68,685925944483
2406.3320,11510,1857,27438,1,3,2009,20,2,68,685925944483
2414.2349,11510,1862,27438,1,4,2009,20,2,68,685925944483
2384.1636,11110,1844,27438,1,1,2009,20,2,68,685925944483
2388.4946,11110,1853,27438,1,2,2009,20,2,68,685925944483
2406.3320,11510,1857,27438,1,3,2009,20,2,68,685925944483
2414.2349,11510,1862,27438,1,4,2009,20,2,68,685925944483
2384.1636,11110,1844,27438,1,1,2009,20,2,68,685925944483
2388.4946,11110,1853,27438,1,2,2009,20,2,68,685925944483
2406.3320,11510,1857,27438,1,3,2009,20,2,68,685925944483
2414.2349,11510,1862,27438,1,4,2009,20,2,68,685925944483
4529.6831,7595,1178,27439,1,1,2009,84,1,17,685925944486
4620.0669,7595,1183,27439,1,2,2009,84,1,17,685925944486
4567.5889,7595,1186,27439,1,3,2009,84,1,17,685925944486
4590.7676,7595,1189,27439,1,4,2009,84,1,17,685925944486
4529.6831,7595,1178,27439,1,1,2009,84,1,17,685925944486
4620.0669,7595,1183,27439,1,2,2009,84,1,17,685925944486
4567.5889,7595,1186,27439,1,3,2009,84,1,17,685925944486
4590.7676,7595,1189,27439,1,4,2009,84,1,17,685925944486
3642.3579,2078,1416,27441,1,1,2009,20,2,72,685925944521
3724.7632,2078,1423,27441,1,2,2009,20,2,72,685925944521
3804.9268,2078,1426,27441,1,3,2009,20,2,72,685925944521
3887.3655,2078,1430,27441,1,4,2009,20,2,72,685925944521
3642.3579,2078,1416,27441,1,1,2009,20,2,72,685925944521
3724.7632,2078,1423,27441,1,2,2009,20,2,72,685925944521
3804.9268,2078,1426,27441,1,3,2009,20,2,72,685925944521
3887.3655,2078,1430,27441,1,4,2009,20,2,72,685925944521
3642.3579,2078,1416,27441,1,1,2009,20,2,72,685925944521
3724.7632,2078,1423,27441,1,2,2009,20,2,72,685925944521
3804.9268,2078,1426,27441,1,3,2009,20,2,72,685925944521
3887.3655,2078,1430,27441,1,4,2009,20,2,72,685925944521
1613.2430,2812,1376,27442,1,1,2009,20,2,88,685925944531
1633.2813,2812,1383,27442,1,2,2009,20,2,88,685925944531
1615.3303,1962,1386,27442,1,3,2009,20,2,88,685925944531
1618.8584,2812,1389,27442,1,4,2009,20,2,88,685925944531
1613.2430,2812,1376,27442,1,1,2009,20,2,88,685925944531
1633.2813,2812,1383,27442,1,2,2009,20,2,88,685925944531
1615.3303,1962,1386,27442,1,3,2009,20,2,88,685925944531
1618.8584,2812,1389,27442,1,4,2009,20,2,88,685925944531
1613.2430,2812,1376,27442,1,1,2009,20,2,88,685925944531
1633.2813,2812,1383,27442,1,2,2009,20,2,88,685925944531
1615.3303,1962,1386,27442,1,3,2009,20,2,88,685925944531
1618.8584,2812,1389,27442,1,4,2009,20,2,88,685925944531
2677.8457,1307,1178,27443,1,1,2009,47,1,50,685925944536
2548.2856,1307,1183,27443,1,2,2009,47,1,50,685925944536
2670.6233,1307,1186,27443,1,3,2009,47,1,50,685925944536
2754.4041,1512,1189,27443,1,4,2009,47,1,50,685925944536
2677.8457,1307,1178,27443,1,1,2009,47,1,50,685925944536
2548.2856,1307,1183,27443,1,2,2009,47,1,50,685925944536
2670.6233,1307,1186,27443,1,3,2009,47,1,50,685925944536
2754.4041,1512,1189,27443,1,4,2009,47,1,50,685925944536
2677.8457,0,915,27443,1,1,2009,47,1,50,685925944536
2548.2856,0,920,27443,1,2,2009,47,1,50,685925944536
2670.6233,0,922,27443,1,3,2009,47,1,50,685925944536
2754.4041,0,924,27443,1,4,2009,47,1,50,685925944536
3779.8269,1492,915,27444,1,1,2009,76,1,99,685925944584
3732.0488,952,920,27444,1,2,2009,76,1,99,685925944584
3647.2244,952,922,27444,1,3,2009,76,1,99,685925944584
3542.1113,952,924,27444,1,4,2009,76,1,99,685925944584
3582.3528,2212,843,27445,1,1,2009,16,1,22,685925944588
3533.0955,2212,848,27445,1,2,2009,16,1,22,685925944588
3473.5068,2212,850,27445,1,3,2009,16,1,22,685925944588
3459.5815,2212,852,27445,1,4,2009,16,1,22,685925944588
4212.6240,7008,1178,27446,1,1,2009,84,1,13,685925944638
4173.8760,7008,1183,27446,1,2,2009,84,1,13,685925944638
4193.8721,7008,1186,27446,1,3,2009,84,1,13,685925944638
4212.2417,7008,1189,27446,1,4,2009,84,1,13,685925944638
4212.6240,7008,1178,27446,1,1,2009,84,1,13,685925944638
4173.8760,7008,1183,27446,1,2,2009,84,1,13,685925944638
4193.8721,7008,1186,27446,1,3,2009,84,1,13,685925944638
4212.2417,7008,1189,27446,1,4,2009,84,1,13,685925944638
4335.6538,10044,1178,27447,1,1,2009,110,1,33,685925944668
4323.2495,10044,1183,27447,1,2,2009,110,1,33,685925944668
4107.5986,10044,1186,27447,1,3,2009,110,1,33,685925944668
4114.1006,10044,1189,27447,1,4,2009,110,1,33,685925944668
4335.6538,10044,1178,27447,1,1,2009,110,1,33,685925944668
4323.2495,10044,1183,27447,1,2,2009,110,1,33,685925944668
4107.5986,10044,1186,27447,1,3,2009,110,1,33,685925944668
4114.1006,10044,1189,27447,1,4,2009,110,1,33,685925944668
3758.6558,4008,1063,27448,1,1,2009,86,1,62,685925944746
3793.7307,4008,1068,27448,1,2,2009,86,1,62,685925944746
3854.7773,4008,1071,27448,1,3,2009,86,1,62,685925944746
3924.2305,4008,1074,27448,1,4,2009,86,1,62,685925944746
3758.6558,4008,1063,27448,1,1,2009,86,1,62,685925944746
3793.7307,4008,1068,27448,1,2,2009,86,1,62,685925944746
3854.7773,4008,1071,27448,1,3,2009,86,1,62,685925944746
3924.2305,4008,1074,27448,1,4,2009,86,1,62,685925944746
3631.7271,10000,1178,27449,1,1,2009,76,1,30,685925944804
3725.9165,10000,1183,27449,1,2,2009,76,1,30,685925944804
3672.9312,10000,1186,27449,1,3,2009,76,1,30,685925944804
3704.1523,10000,1189,27449,1,4,2009,76,1,30,685925944804
3631.7271,10000,1178,27449,1,1,2009,76,1,30,685925944804
3725.9165,10000,1183,27449,1,2,2009,76,1,30,685925944804
3672.9312,10000,1186,27449,1,3,2009,76,1,30,685925944804
3704.1523,10000,1189,27449,1,4,2009,76,1,30,685925944804
3864.0522,7,1790,27450,1,1,2009,12,1,30,685925944857
3858.2505,7,1799,27450,1,2,2009,12,1,30,685925944857
3964.5925,7,1803,27450,1,3,2009,12,1,30,685925944857
3909.8599,7,1808,27450,1,4,2009,12,1,30,685925944857
3864.0522,7,1790,27450,1,1,2009,12,1,30,685925944857
3858.2505,7,1799,27450,1,2,2009,12,1,30,685925944857
3964.5925,7,1803,27450,1,3,2009,12,1,30,685925944857
3909.8599,7,1808,27450,1,4,2009,12,1,30,685925944857
