WHFNWGT,RFPOV,TFTOTINC,GRGC,GHLFSAM,GVARSTR,RHCALYR,RHCALMN,SROTATON,SSUSEQ,SSUID
3058.6162,1614,2686,33,1,93,2004,11,1,27313,685925011232
3072.6907,1608,2686,33,1,93,2004,12,1,27313,685925011232
3076.8916,1611,2686,33,1,93,2005,1,1,27313,685925011232
3077.3301,1613,2686,33,1,93,2004,10,1,27313,685925011232
3058.6162,1614,2686,33,1,93,2004,11,1,27313,685925011232
3072.6907,1608,2686,33,1,93,2004,12,1,27313,685925011232
3076.8916,1611,2686,33,1,93,2005,1,1,27313,685925011232
4101.0859,1280,4346,23,2,81,2004,10,1,27315,685925011343
4039.3645,1281,4346,23,2,81,2004,11,1,27315,685925011343
4070.7092,1276,4346,23,2,81,2004,12,1,27315,685925011343
4061.9128,1279,4346,23,2,81,2005,1,1,27315,685925011343
4101.0859,1280,4346,23,2,81,2004,10,1,27315,685925011343
4039.3645,1281,4346,23,2,81,2004,11,1,27315,685925011343
4070.7092,1276,4346,23,2,81,2004,12,1,27315,685925011343
4061.9128,1279,4346,23,2,81,2005,1,1,27315,685925011343
4101.0859,1280,4346,23,2,81,2004,10,1,27315,685925011343
4039.3645,1281,4346,23,2,81,2004,11,1,27315,685925011343
4070.7092,1276,4346,23,2,81,2004,12,1,27315,685925011343
4061.9128,1279,4346,23,2,81,2005,1,1,27315,685925011343
4554.6177,827,2078,31,2,81,2004,10,1,27316,685925011369
4448.9692,828,2078,31,2,81,2004,11,1,27316,685925011369
4201.5664,825,2078,31,2,81,2004,12,1,27316,685925011369
4337.9731,826,2078,31,2,81,2005,1,1,27316,685925011369
4554.6177,827,2268,31,2,81,2004,10,1,27316,685925011369
4448.9692,828,2268,31,2,81,2004,11,1,27316,685925011369
4201.5664,825,2268,31,2,81,2004,12,1,27316,685925011369
4337.9731,826,2268,31,2,81,2005,1,1,27316,685925011369
4889.9976,763,526,98,2,47,2004,10,1,27317,685925011762
4603.7749,763,526,98,2,47,2004,11,1,27317,685925011762
4388.9678,760,526,98,2,47,2004,12,1,27317,685925011762
4490.7163,762,526,98,2,47,2005,1,1,27317,685925011762
4185.9238,1280,6028,38,1,93,2004,10,1,27318,685925011935
4303.8857,1281,6028,38,1,93,2004,11,1,27318,685925011935
4177.9248,1276,6087,38,1,93,2004,12,1,27318,685925011935
4046.3735,1279,6028,38,1,93,2005,1,1,27318,685925011935
4185.9238,1280,6028,38,1,93,2004,10,1,27318,685925011935
4303.8857,1281,6028,38,1,93,2004,11,1,27318,685925011935
4177.9248,1276,6087,38,1,93,2004,12,1,27318,685925011935
4046.3735,1279,6028,38,1,93,2005,1,1,27318,685925011935
4185.9238,1280,6028,38,1,93,2004,10,1,27318,685925011935
4303.8857,1281,6028,38,1,93,2004,11,1,27318,685925011935
4177.9248,1276,6087,38,1,93,2004,12,1,27318,685925011935
4046.3735,1279,6028,38,1,93,2005,1,1,27318,685925011935
3349.9336,2007,7370,89,1,95,2004,10,1,27319,685925011966
3385.6335,2008,7370,89,1,95,2004,11,1,27319,685925011966
3362.5430,2000,7370,89,1,95,2004,12,1,27319,685925011966
3386.4241,2004,7370,89,1,95,2005,1,1,27319,685925011966
3349.9336,2007,7370,89,1,95,2004,10,1,27319,685925011966
3385.6335,2008,7370,89,1,95,2004,11,1,27319,685925011966
3362.5430,2000,7370,89,1,95,2004,12,1,27319,685925011966
3386.4241,2004,7370,89,1,95,2005,1,1,27319,685925011966
3349.9336,2007,7370,89,1,95,2004,10,1,27319,685925011966
3385.6335,2008,7370,89,1,95,2004,11,1,27319,685925011966
3362.5430,2000,7370,89,1,95,2004,12,1,27319,685925011966
3386.4241,2004,7370,89,1,95,2005,1,1,27319,685925011966
3349.9336,2007,7370,89,1,95,2004,10,1,27319,685925011966
3385.6335,2008,7370,89,1,95,2004,11,1,27319,685925011966
3362.5430,2000,7370,89,1,95,2004,12,1,27319,685925011966
3386.4241,2004,7370,89,1,95,2005,1,1,27319,685925011966
3349.9336,2007,7370,89,1,95,2004,10,1,27319,685925011966
3385.6335,2008,7370,89,1,95,2004,11,1,27319,685925011966
3362.5430,2000,7370,89,1,95,2004,12,1,27319,685925011966
3386.4241,2004,7370,89,1,95,2005,1,1,27319,685925011966
3836.0833,1869,504,36,1,78,2004,10,1,27320,685925019020
4073.5535,1870,192,36,1,78,2004,11,1,27320,685925019020
4257.0288,1863,192,36,1,78,2004,12,1,27320,685925019020
4153.0288,1866,192,36,1,78,2005,1,1,27320,685925019020
3836.0833,1869,504,36,1,78,2004,10,1,27320,685925019020
4073.5535,1870,192,36,1,78,2004,11,1,27320,685925019020
4257.0288,1863,192,36,1,78,2004,12,1,27320,685925019020
4153.0288,1866,192,36,1,78,2005,1,1,27320,685925019020
3836.0833,1869,504,36,1,78,2004,10,1,27320,685925019020
4073.5535,1870,192,36,1,78,2004,11,1,27320,685925019020
4257.0288,1863,192,36,1,78,2004,12,1,27320,685925019020
4153.0288,1866,192,36,1,78,2005,1,1,27320,685925019020
3836.0833,1869,504,36,1,78,2004,10,1,27320,685925019020
4073.5535,1870,192,36,1,78,2004,11,1,27320,685925019020
4257.0288,1863,192,36,1,78,2004,12,1,27320,685925019020
4153.0288,1866,192,36,1,78,2005,1,1,27320,685925019020
3836.0833,1869,504,36,1,78,2004,10,1,27320,685925019020
4073.5535,1870,192,36,1,78,2004,11,1,27320,685925019020
4257.0288,1863,192,36,1,78,2004,12,1,27320,685925019020
4153.0288,1866,192,36,1,78,2005,1,1,27320,685925019020
3771.6870,1065,248,82,1,43,2004,10,1,27321,685925074027
3768.2427,1065,248,82,1,43,2004,11,1,27321,685925074027
3848.7085,1061,248,82,1,43,2004,12,1,27321,685925074027
3845.9390,1063,248,82,1,43,2005,1,1,27321,685925074027
3771.6870,1065,248,82,1,43,2004,10,1,27321,685925074027
3768.2427,1065,248,82,1,43,2004,11,1,27321,685925074027
3848.7085,1061,248,82,1,43,2004,12,1,27321,685925074027
3845.9390,1063,248,82,1,43,2005,1,1,27321,685925074027
5108.5718,1065,4593,83,1,16,2004,10,1,27322,685925074069
5018.2021,1065,4593,83,1,16,2004,11,1,27322,685925074069
5254.3359,1061,4593,83,1,16,2004,12,1,27322,685925074069
5497.6401,1063,4593,83,1,16,2005,1,1,27322,685925074069
5108.5718,1065,4593,83,1,16,2004,10,1,27322,685925074069
5018.2021,1065,4593,83,1,16,2004,11,1,27322,685925074069
5254.3359,1061,4593,83,1,16,2004,12,1,27322,685925074069
5497.6401,1063,4593,83,1,16,2005,1,1,27322,685925074069
2824.9490,1613,6544,38,1,20,2004,10,1,27323,685925074099
2866.5454,1614,6544,38,1,20,2004,11,1,27323,685925074099
2777.5232,1608,6544,38,1,20,2004,12,1,27323,685925074099
2786.9678,1611,6544,38,1,20,2005,1,1,27323,685925074099
2824.9490,1613,6544,38,1,20,2004,10,1,27323,685925074099
2866.5454,1614,6544,38,1,20,2004,11,1,27323,685925074099
2777.5232,1608,6544,38,1,20,2004,12,1,27323,685925074099
2786.9678,1611,6544,38,1,20,2005,1,1,27323,685925074099
2824.9490,1613,6544,38,1,20,2004,10,1,27323,685925074099
2866.5454,1614,6544,38,1,20,2004,11,1,27323,685925074099
2777.5232,1608,6544,38,1,20,2004,12,1,27323,685925074099
2786.9678,1611,6544,38,1,20,2005,1,1,27323,685925074099
2824.9490,1613,6544,38,1,20,2004,10,1,27323,685925074099
2866.5454,1614,6544,38,1,20,2004,11,1,27323,685925074099
2777.5232,1608,6544,38,1,20,2004,12,1,27323,685925074099
2786.9678,1611,6544,38,1,20,2005,1,1,27323,685925074099
3335.2358,827,639,83,1,20,2004,10,1,27324,685925074159
3298.4055,828,639,83,1,20,2004,11,1,27324,685925074159
3337.7878,825,639,83,1,20,2004,12,1,27324,685925074159
3360.7976,826,639,83,1,20,2005,1,1,27324,685925074159
3321.3140,1281,7,83,1,20,2004,10,1,27324,685925074159
3543.0220,1282,13,83,1,20,2004,11,1,27324,685925074159
3458.3521,1277,17,83,1,20,2004,12,1,27324,685925074159
3496.3691,1280,29,83,1,20,2005,1,1,27324,685925074159
3321.3140,1281,7,83,1,20,2004,10,1,27324,685925074159
3543.0220,1282,13,83,1,20,2004,11,1,27324,685925074159
3458.3521,1277,17,83,1,20,2004,12,1,27324,685925074159
3496.3691,1280,29,83,1,20,2005,1,1,27324,685925074159
3321.3140,1281,7,83,1,20,2004,10,1,27324,685925074159
3543.0220,1282,13,83,1,20,2004,11,1,27324,685925074159
3458.3521,1277,17,83,1,20,2004,12,1,27324,685925074159
3496.3691,1280,29,83,1,20,2005,1,1,27324,685925074159
4318.9258,1244,4387,75,1,16,2004,10,1,27325,685925074220
4328.1372,1245,4387,75,1,16,2004,11,1,27325,685925074220
4313.6118,1240,4387,75,1,16,2004,12,1,27325,685925074220
4366.0625,1242,4387,75,1,16,2005,1,1,27325,685925074220
4318.9258,1244,4387,75,1,16,2004,10,1,27325,685925074220
4328.1372,1245,4387,75,1,16,2004,11,1,27325,685925074220
4313.6118,1240,4387,75,1,16,2004,12,1,27325,685925074220
4366.0625,1242,4387,75,1,16,2005,1,1,27325,685925074220
4318.9258,1244,4387,75,1,16,2004,10,1,27325,685925074220
4328.1372,1245,4387,75,1,16,2004,11,1,27325,685925074220
4313.6118,1240,4387,75,1,16,2004,12,1,27325,685925074220
4366.0625,1242,4387,75,1,16,2005,1,1,27325,685925074220
4261.7471,1065,5960,79,2,16,2004,10,1,27326,685925074277
4277.1787,1065,6304,79,2,16,2004,11,1,27326,685925074277
4291.2314,1061,6304,79,2,16,2004,12,1,27326,685925074277
4265.1426,1063,6304,79,2,16,2005,1,1,27326,685925074277
4261.7471,1065,5960,79,2,16,2004,10,1,27326,685925074277
4277.1787,1065,6304,79,2,16,2004,11,1,27326,685925074277
4291.2314,1061,6304,79,2,16,2004,12,1,27326,685925074277
