WHFNWGT,RFPOV,TFTOTINC,GRGC,GHLFSAM,GVARSTR,RHCALYR,RHCALMN,SROTATON,SSUSEQ,SSUID
1857.3196,1065,6466,15,2,31,2004,10,1,11033,396344074954
1884.8739,1065,6466,15,2,31,2004,11,1,11033,396344074954
1865.8719,1061,6466,15,2,31,2004,12,1,11033,396344074954
1882.8668,1063,6466,15,2,31,2005,1,1,11033,396344074954
4004.7329,2192,10390,56,2,68,2004,10,1,11034,396344074988
4301.0850,2193,10361,56,2,68,2004,11,1,11034,396344074988
4277.6069,2185,27221,56,2,68,2004,12,1,11034,396344074988
4447.4629,2189,10286,56,2,68,2005,1,1,11034,396344074988
4004.7329,2192,10390,56,2,68,2004,10,1,11034,396344074988
4301.0850,2193,10361,56,2,68,2004,11,1,11034,396344074988
4277.6069,2185,27221,56,2,68,2004,12,1,11034,396344074988
4447.4629,2189,10286,56,2,68,2005,1,1,11034,396344074988
4004.7329,2192,10390,56,2,68,2004,10,1,11034,396344074988
4301.0850,2193,10361,56,2,68,2004,11,1,11034,396344074988
4277.6069,2185,27221,56,2,68,2004,12,1,11034,396344074988
4447.4629,2189,10286,56,2,68,2005,1,1,11034,396344074988
4004.7329,2192,10390,56,2,68,2004,10,1,11034,396344074988
4301.0850,2193,10361,56,2,68,2004,11,1,11034,396344074988
4277.6069,2185,27221,56,2,68,2004,12,1,11034,396344074988
4447.4629,2189,10286,56,2,68,2005,1,1,11034,396344074988
4004.7329,2192,10390,56,2,68,2004,10,1,11034,396344074988
4301.0850,2193,10361,56,2,68,2004,11,1,11034,396344074988
4277.6069,2185,27221,56,2,68,2004,12,1,11034,396344074988
4447.4629,2189,10286,56,2,68,2005,1,1,11034,396344074988
4004.7329,2192,10390,56,2,68,2004,10,1,11034,396344074988
4301.0850,2193,10361,56,2,68,2004,11,1,11034,396344074988
4277.6069,2185,27221,56,2,68,2004,12,1,11034,396344074988
4447.4629,2189,10286,56,2,68,2005,1,1,11034,396344074988
1622.0795,1945,6232,96,2,78,2004,10,1,11035,396344123054
1620.2739,1946,6232,96,2,78,2004,11,1,11035,396344123054
1601.3665,1939,6232,96,2,78,2004,12,1,11035,396344123054
1608.7188,1943,5132,96,2,78,2005,1,1,11035,396344123054
1622.0795,1945,6232,96,2,78,2004,10,1,11035,396344123054
1620.2739,1946,6232,96,2,78,2004,11,1,11035,396344123054
1601.3665,1939,6232,96,2,78,2004,12,1,11035,396344123054
1608.7188,1943,5132,96,2,78,2005,1,1,11035,396344123054
1622.0795,1945,6232,96,2,78,2004,10,1,11035,396344123054
1620.2739,1946,6232,96,2,78,2004,11,1,11035,396344123054
1601.3665,1939,6232,96,2,78,2004,12,1,11035,396344123054
1608.7188,1943,5132,96,2,78,2005,1,1,11035,396344123054
1622.0795,1945,6232,96,2,78,2004,10,1,11035,396344123054
1620.2739,1946,6232,96,2,78,2004,11,1,11035,396344123054
1601.3665,1939,6232,96,2,78,2004,12,1,11035,396344123054
1608.7188,1943,5132,96,2,78,2005,1,1,11035,396344123054
1622.0795,1945,6232,96,2,78,2004,10,1,11035,396344123054
1620.2739,1946,6232,96,2,78,2004,11,1,11035,396344123054
1601.3665,1939,6232,96,2,78,2004,12,1,11035,396344123054
1608.7188,1943,5132,96,2,78,2005,1,1,11035,396344123054
1904.6514,1280,6900,88,2,78,2004,10,1,11036,396344123183
1757.9764,1281,6900,88,2,78,2004,11,1,11036,396344123183
1794.3772,1276,6905,88,2,78,2004,12,1,11036,396344123183
1849.3276,1279,13525,88,2,78,2005,1,1,11036,396344123183
1904.6514,1280,6900,88,2,78,2004,10,1,11036,396344123183
1757.9764,1281,6900,88,2,78,2004,11,1,11036,396344123183
1794.3772,1276,6905,88,2,78,2004,12,1,11036,396344123183
1849.3276,1279,13525,88,2,78,2005,1,1,11036,396344123183
1904.6514,1280,6900,88,2,78,2004,10,1,11036,396344123183
1757.9764,1281,6900,88,2,78,2004,11,1,11036,396344123183
1794.3772,1276,6905,88,2,78,2004,12,1,11036,396344123183
1849.3276,1279,13525,88,2,78,2005,1,1,11036,396344123183
1432.6919,2007,2448,54,1,57,2004,10,1,11037,396344123194
1438.1328,2008,2361,54,1,57,2004,11,1,11037,396344123194
1430.2653,1972,2411,54,1,57,2004,12,1,11037,396344123194
1442.5555,1976,2411,54,1,57,2005,1,1,11037,396344123194
1432.6919,2007,2448,54,1,57,2004,10,1,11037,396344123194
1438.1328,2008,2361,54,1,57,2004,11,1,11037,396344123194
1430.2653,1972,2411,54,1,57,2004,12,1,11037,396344123194
1442.5555,1976,2411,54,1,57,2005,1,1,11037,396344123194
1432.6919,2007,2448,54,1,57,2004,10,1,11037,396344123194
1438.1328,2008,2361,54,1,57,2004,11,1,11037,396344123194
1430.2653,1972,2411,54,1,57,2004,12,1,11037,396344123194
1442.5555,1976,2411,54,1,57,2005,1,1,11037,396344123194
1432.6919,2007,2448,54,1,57,2004,10,1,11037,396344123194
1438.1328,2008,2361,54,1,57,2004,11,1,11037,396344123194
1430.2653,1972,2411,54,1,57,2004,12,1,11037,396344123194
1442.5555,1976,2411,54,1,57,2005,1,1,11037,396344123194
1432.6919,2007,2448,54,1,57,2004,10,1,11037,396344123194
1438.1328,2008,2361,54,1,57,2004,11,1,11037,396344123194
1430.2653,1972,2411,54,1,57,2004,12,1,11037,396344123194
1442.5555,1976,2411,54,1,57,2005,1,1,11037,396344123194
1572.2307,1065,789,27,1,106,2004,10,1,11038,396344123240
1566.9592,1065,789,27,1,106,2004,11,1,11038,396344123240
1598.3856,1061,789,27,1,106,2004,12,1,11038,396344123240
1612.0447,1063,820,27,1,106,2005,1,1,11038,396344123240
1572.2307,1065,789,27,1,106,2004,10,1,11038,396344123240
1566.9592,1065,789,27,1,106,2004,11,1,11038,396344123240
1598.3856,1061,789,27,1,106,2004,12,1,11038,396344123240
1612.0447,1063,820,27,1,106,2005,1,1,11038,396344123240
1670.5721,827,1000,27,1,106,2004,10,1,11038,396344123240
1705.4948,828,1000,27,1,106,2004,11,1,11038,396344123240
1758.4216,825,1000,27,1,106,2004,12,1,11038,396344123240
1803.6255,826,1400,27,1,106,2005,1,1,11038,396344123240
1670.5721,1281,1200,27,1,106,2004,10,1,11038,396344123240
1705.4948,1282,1200,27,1,106,2004,11,1,11038,396344123240
1758.4216,1277,1000,27,1,106,2004,12,1,11038,396344123240
1803.6255,1280,1000,27,1,106,2005,1,1,11038,396344123240
1670.5721,1281,1200,27,1,106,2004,10,1,11038,396344123240
1705.4948,1282,1200,27,1,106,2004,11,1,11038,396344123240
1758.4216,1277,1000,27,1,106,2004,12,1,11038,396344123240
1803.6255,1280,1000,27,1,106,2005,1,1,11038,396344123240
1670.5721,1281,1200,27,1,106,2004,10,1,11038,396344123240
1705.4948,1282,1200,27,1,106,2004,11,1,11038,396344123240
1758.4216,1277,1000,27,1,106,2004,12,1,11038,396344123240
1803.6255,1280,1000,27,1,106,2005,1,1,11038,396344123240
1513.7468,1065,3841,3,1,106,2004,10,1,11039,396344123297
1503.8057,1065,3841,3,1,106,2004,11,1,11039,396344123297
1477.7141,1061,3841,3,1,106,2004,12,1,11039,396344123297
1534.2074,1063,3841,3,1,106,2005,1,1,11039,396344123297
1513.7468,1065,3841,3,1,106,2004,10,1,11039,396344123297
1503.8057,1065,3841,3,1,106,2004,11,1,11039,396344123297
1477.7141,1061,3841,3,1,106,2004,12,1,11039,396344123297
1534.2074,1063,3841,3,1,106,2005,1,1,11039,396344123297
4351.5923,827,801,67,1,15,2004,10,1,11040,396344123301
4233.0049,828,801,67,1,15,2004,11,1,11040,396344123301
4179.6465,825,801,67,1,15,2004,12,1,11040,396344123301
4322.9922,826,801,67,1,15,2005,1,1,11040,396344123301
