WHFNWGT,RFPOV,TFTOTINC,GRGC,GHLFSAM,GVARSTR,RHCALYR,RHCALMN,SROTATON,SSUSEQ,SSUID
1847.3424,973,3262,77,2,25,2005,3,4,38427,874925467318
1793.2039,980,3262,77,2,25,2005,4,4,38427,874925467318
4332.4297,762,1151,33,1,8,2005,1,4,38428,874925467360
4172.0815,766,1151,33,1,8,2005,2,4,38428,874925467360
4301.6187,772,1151,33,1,8,2005,3,4,38428,874925467360
4174.2852,777,1151,33,1,8,2005,4,4,38428,874925467360
2157.0544,1665,3193,21,1,67,2005,1,4,38429,874925467365
2282.9377,1675,3193,21,1,67,2005,2,4,38429,874925467365
2237.7185,1688,3193,21,1,67,2005,3,4,38429,874925467365
2198.2766,1699,3193,21,1,67,2005,4,4,38429,874925467365
2157.0544,1665,3193,21,1,67,2005,1,4,38429,874925467365
2282.9377,1675,3193,21,1,67,2005,2,4,38429,874925467365
2237.7185,1688,3193,21,1,67,2005,3,4,38429,874925467365
2198.2766,1699,3193,21,1,67,2005,4,4,38429,874925467365
2157.0544,1665,3193,21,1,67,2005,1,4,38429,874925467365
2282.9377,1675,3193,21,1,67,2005,2,4,38429,874925467365
2237.7185,1688,3193,21,1,67,2005,3,4,38429,874925467365
2198.2766,1699,3193,21,1,67,2005,4,4,38429,874925467365
2157.0544,1665,3193,21,1,67,2005,1,4,38429,874925467365
2282.9377,1675,3193,21,1,67,2005,2,4,38429,874925467365
2237.7185,1688,3193,21,1,67,2005,3,4,38429,874925467365
2198.2766,1699,3193,21,1,67,2005,4,4,38429,874925467365
2404.0415,1279,5320,40,2,2,2005,1,4,38430,874925467502
2371.4180,1250,5320,40,2,2,2005,2,4,38430,874925467502
2301.5330,1259,5320,40,2,2,2005,3,4,38430,874925467502
2315.1121,1268,5526,40,2,2,2005,4,4,38430,874925467502
2404.0415,1279,5320,40,2,2,2005,1,4,38430,874925467502
2371.4180,1250,5320,40,2,2,2005,2,4,38430,874925467502
2301.5330,1259,5320,40,2,2,2005,3,4,38430,874925467502
2315.1121,1268,5526,40,2,2,2005,4,4,38430,874925467502
2404.0415,1279,5320,40,2,2,2005,1,4,38430,874925467502
2371.4180,1250,5320,40,2,2,2005,2,4,38430,874925467502
2301.5330,1259,5320,40,2,2,2005,3,4,38430,874925467502
2315.1121,1268,5526,40,2,2,2005,4,4,38430,874925467502
748.4285,1063,2286,31,1,25,2005,1,4,38431,874925467536
745.5474,1070,2286,31,1,25,2005,2,4,38431,874925467536
745.1107,1078,3086,31,1,25,2005,3,4,38431,874925467536
745.4852,1085,3886,31,1,25,2005,4,4,38431,874925467536
748.4285,1063,2286,31,1,25,2005,1,4,38431,874925467536
745.5474,1070,2286,31,1,25,2005,2,4,38431,874925467536
745.1107,1078,3086,31,1,25,2005,3,4,38431,874925467536
745.4852,1085,3886,31,1,25,2005,4,4,38431,874925467536
7283.3179,826,626,37,2,8,2005,1,4,38432,874925467545
7171.6982,831,626,37,2,8,2005,2,4,38432,874925467545
7256.4053,838,626,37,2,8,2005,3,4,38432,874925467545
7269.5664,843,626,37,2,8,2005,4,4,38432,874925467545
2168.8184,1638,11850,44,1,2,2005,1,4,38433,874925467622
2174.1960,1648,11850,44,1,2,2005,2,4,38433,874925467622
2182.7969,1661,11850,44,1,2,2005,3,4,38433,874925467622
2218.6060,1672,11850,44,1,2,2005,4,4,38433,874925467622
2168.8184,1638,11850,44,1,2,2005,1,4,38433,874925467622
2174.1960,1648,11850,44,1,2,2005,2,4,38433,874925467622
2182.7969,1661,11850,44,1,2,2005,3,4,38433,874925467622
2218.6060,1672,11850,44,1,2,2005,4,4,38433,874925467622
2168.8184,1638,11850,44,1,2,2005,1,4,38433,874925467622
2174.1960,1648,11850,44,1,2,2005,2,4,38433,874925467622
2182.7969,1661,11850,44,1,2,2005,3,4,38433,874925467622
2218.6060,1672,11850,44,1,2,2005,4,4,38433,874925467622
2168.8184,1638,11850,44,1,2,2005,1,4,38433,874925467622
2174.1960,1648,11850,44,1,2,2005,2,4,38433,874925467622
2182.7969,1661,11850,44,1,2,2005,3,4,38433,874925467622
2218.6060,1672,11850,44,1,2,2005,4,4,38433,874925467622
1891.6968,960,1215,56,2,25,2005,1,4,38434,874925467671
1857.1079,966,1215,56,2,25,2005,2,4,38434,874925467671
1798.0610,973,1215,56,2,25,2005,3,4,38434,874925467671
1762.3207,980,1215,56,2,25,2005,4,4,38434,874925467671
