WHFNWGT,TFTOTINC,RFPOV,SSUSEQ,SROTATON,RHCALMN,RHCALYR,GVARSTR,GHLFSAM,GRGC,SSUID
4723.5952,7845,1823,28491,2,8,2009,46,1,72,728228651916
4809.8218,7845,1824,28491,2,9,2009,46,1,72,728228651916
4695.0503,7845,1822,28491,2,6,2009,46,1,72,728228651916
4722.6152,7845,1819,28491,2,7,2009,46,1,72,728228651916
4723.5952,7845,1823,28491,2,8,2009,46,1,72,728228651916
4809.8218,7845,1824,28491,2,9,2009,46,1,72,728228651916
4331.5073,5681,1238,28492,2,6,2009,46,2,59,728228651979
4016.9858,5681,1236,28492,2,7,2009,46,2,59,728228651979
3872.9163,5681,1239,28492,2,8,2009,46,2,59,728228651979
3981.6223,5681,1240,28492,2,9,2009,46,2,59,728228651979
4331.5073,5681,1238,28492,2,6,2009,46,2,59,728228651979
4016.9858,5681,1236,28492,2,7,2009,46,2,59,728228651979
3872.9163,5681,1239,28492,2,8,2009,46,2,59,728228651979
3981.6223,5681,1240,28492,2,9,2009,46,2,59,728228651979
4016.9858,6000,933,28492,2,7,2009,46,2,59,728228651979
3872.9163,6000,935,28492,2,8,2009,46,2,59,728228651979
3981.6223,6000,936,28492,2,9,2009,46,2,59,728228651979
3969.8232,14094,1203,28493,2,6,2009,37,2,39,728228739375
3972.1521,8460,1201,28493,2,7,2009,37,2,39,728228739375
3927.1572,8444,1204,28493,2,8,2009,37,2,39,728228739375
3881.2297,14340,1204,28493,2,9,2009,37,2,39,728228739375
3969.8232,14094,1203,28493,2,6,2009,37,2,39,728228739375
3972.1521,8460,1201,28493,2,7,2009,37,2,39,728228739375
3927.1572,8444,1204,28493,2,8,2009,37,2,39,728228739375
3881.2297,14340,1204,28493,2,9,2009,37,2,39,728228739375
3447.4668,6975,1446,28494,2,6,2009,37,1,47,728228739855
3507.1689,6118,1444,28494,2,7,2009,37,1,47,728228739855
3415.3389,6284,1447,28494,2,8,2009,37,1,47,728228739855
3378.8308,7998,1448,28494,2,9,2009,37,1,47,728228739855
3447.4668,6975,1446,28494,2,6,2009,37,1,47,728228739855
3507.1689,6118,1444,28494,2,7,2009,37,1,47,728228739855
3415.3389,6284,1447,28494,2,8,2009,37,1,47,728228739855
3378.8308,7998,1448,28494,2,9,2009,37,1,47,728228739855
3447.4668,6975,1446,28494,2,6,2009,37,1,47,728228739855
3507.1689,6118,1444,28494,2,7,2009,37,1,47,728228739855
3415.3389,6284,1447,28494,2,8,2009,37,1,47,728228739855
3378.8308,7998,1448,28494,2,9,2009,37,1,47,728228739855
3824.6338,6060,1086,28495,2,6,2009,37,1,43,728228739862
3788.7466,6060,1084,28495,2,7,2009,37,1,43,728228739862
3814.9155,6060,1087,28495,2,8,2009,37,1,43,728228739862
3822.8096,6060,1087,28495,2,9,2009,37,1,43,728228739862
3824.6338,6060,1086,28495,2,6,2009,37,1,43,728228739862
3788.7466,6060,1084,28495,2,7,2009,37,1,43,728228739862
3814.9155,6060,1087,28495,2,8,2009,37,1,43,728228739862
3822.8096,6060,1087,28495,2,9,2009,37,1,43,728228739862
3397.6055,31876,2144,28496,2,6,2009,46,2,67,728228743401
3337.6035,31876,2141,28496,2,7,2009,46,2,67,728228743401
3280.0403,31876,2145,28496,2,8,2009,46,2,67,728228743401
3243.0962,31876,2147,28496,2,9,2009,46,2,67,728228743401
3397.6055,31876,2144,28496,2,6,2009,46,2,67,728228743401
3337.6035,31876,2141,28496,2,7,2009,46,2,67,728228743401
3280.0403,31876,2145,28496,2,8,2009,46,2,67,728228743401
3243.0962,31876,2147,28496,2,9,2009,46,2,67,728228743401
3397.6055,31876,2144,28496,2,6,2009,46,2,67,728228743401
3337.6035,31876,2141,28496,2,7,2009,46,2,67,728228743401
3280.0403,31876,2145,28496,2,8,2009,46,2,67,728228743401
3243.0962,31876,2147,28496,2,9,2009,46,2,67,728228743401
3397.6055,31876,2144,28496,2,6,2009,46,2,67,728228743401
3337.6035,31876,2141,28496,2,7,2009,46,2,67,728228743401
3280.0403,31876,2145,28496,2,8,2009,46,2,67,728228743401
3243.0962,31876,2147,28496,2,9,2009,46,2,67,728228743401
3397.6055,31876,2144,28496,2,6,2009,46,2,67,728228743401
3337.6035,31876,2141,28496,2,7,2009,46,2,67,728228743401
3280.0403,31876,2145,28496,2,8,2009,46,2,67,728228743401
3243.0962,31876,2147,28496,2,9,2009,46,2,67,728228743401
5289.6074,5269,1203,28497,2,6,2009,46,2,76,728228743979
5339.9863,5269,1201,28497,2,7,2009,46,2,76,728228743979
5306.3091,5269,1204,28497,2,8,2009,46,2,76,728228743979
5388.2324,5269,1204,28497,2,9,2009,46,2,76,728228743979
5289.6074,5269,1203,28497,2,6,2009,46,2,76,728228743979
5339.9863,5269,1201,28497,2,7,2009,46,2,76,728228743979
5306.3091,5269,1204,28497,2,8,2009,46,2,76,728228743979
5388.2324,5269,1204,28497,2,9,2009,46,2,76,728228743979
3287.7578,1358,862,28498,2,6,2009,37,1,71,728228743995
3411.8018,1358,860,28498,2,7,2009,37,1,71,728228743995
3555.3691,1358,862,28498,2,8,2009,37,1,71,728228743995
3513.9648,1358,863,28498,2,9,2009,37,1,71,728228743995
4006.5854,1933,935,28499,2,6,2009,37,2,92,728228879324
3972.4983,1933,933,28499,2,7,2009,37,2,92,728228879324
4339.3711,1933,935,28499,2,8,2009,37,2,92,728228879324
3749.1338,1933,936,28499,2,9,2009,37,2,92,728228879324
3276.3032,16671,1822,28500,2,6,2009,37,1,90,728228879862
3220.7900,16671,1819,28500,2,7,2009,37,1,90,728228879862
3161.8428,16671,2145,28500,2,8,2009,37,1,90,728228879862
3209.7180,16671,2147,28500,2,9,2009,37,1,90,728228879862
3276.3032,16671,1822,28500,2,6,2009,37,1,90,728228879862
3220.7900,16671,1819,28500,2,7,2009,37,1,90,728228879862
3161.8428,16671,2145,28500,2,8,2009,37,1,90,728228879862
3209.7180,16671,2147,28500,2,9,2009,37,1,90,728228879862
3276.3032,16671,1822,28500,2,6,2009,37,1,90,728228879862
3220.7900,16671,1819,28500,2,7,2009,37,1,90,728228879862
3161.8428,16671,2145,28500,2,8,2009,37,1,90,728228879862
3209.7180,16671,2147,28500,2,9,2009,37,1,90,728228879862
3276.3032,16671,1822,28500,2,6,2009,37,1,90,728228879862
3220.7900,16671,1819,28500,2,7,2009,37,1,90,728228879862
3161.8428,16671,2145,28500,2,8,2009,37,1,90,728228879862
3209.7180,16671,2147,28500,2,9,2009,37,1,90,728228879862
3161.8428,16671,2145,28500,2,8,2009,37,1,90,728228879862
3209.7180,16671,2147,28500,2,9,2009,37,1,90,728228879862
3448.4004,12083,1203,28501,2,6,2009,112,2,57,728344074069
3405.3208,12083,1201,28501,2,7,2009,112,2,57,728344074069
