GHLFSAM,GRGC,GVARSTR,RFPOV,RHCALMN,RHCALYR,SROTATON,SSUSEQ,TFTOTINC,WHFNWGT,SSUID
1,90,69,1519,10,2011,1,35543,2500,3073.9285,837454369753
1,90,69,1518,11,2011,1,35543,2500,3218.9568,837454369753
1,90,69,1514,12,2011,1,35543,2950,3385.5457,837454369753
1,90,69,1523,9,2011,1,35543,2950,3085.5220,837454369753
1,90,69,1519,10,2011,1,35543,2500,3073.9285,837454369753
1,90,69,1518,11,2011,1,35543,2500,3218.9568,837454369753
1,90,69,1514,12,2011,1,35543,2950,3385.5457,837454369753
1,2,69,983,9,2011,1,35789,648,5113.2622,837925196360
1,2,69,981,10,2011,1,35789,648,4983.0313,837925196360
1,2,69,980,11,2011,1,35789,648,4859.9575,837925196360
1,2,69,978,12,2011,1,35789,648,4826.3799,837925196360
1,99,69,1523,9,2011,1,35798,1689,5204.0850,837925196933
1,99,69,1519,10,2011,1,35798,1689,5250.7476,837925196933
1,99,69,1518,11,2011,1,35798,1689,5449.9380,837925196933
1,99,69,1514,12,2011,1,35798,1689,5787.2563,837925196933
1,99,69,1523,9,2011,1,35798,1689,5204.0850,837925196933
1,99,69,1519,10,2011,1,35798,1689,5250.7476,837925196933
1,99,69,1518,11,2011,1,35798,1689,5449.9380,837925196933
1,99,69,1514,12,2011,1,35798,1689,5787.2563,837925196933
1,99,69,1523,9,2011,1,35798,1689,5204.0850,837925196933
1,99,69,1519,10,2011,1,35798,1689,5250.7476,837925196933
1,99,69,1518,11,2011,1,35798,1689,5449.9380,837925196933
1,99,69,1514,12,2011,1,35798,1689,5787.2563,837925196933
1,95,69,983,9,2011,1,35797,805,3016.6428,837925196894
1,95,69,981,10,2011,1,35797,805,2989.7996,837925196894
1,95,69,980,11,2011,1,35797,805,3046.5181,837925196894
1,95,69,978,12,2011,1,35797,805,3097.0640,837925196894
1,87,69,1265,9,2011,1,35922,8391,2658.3916,837925370545
1,87,69,1263,10,2011,1,35922,8391,2623.9771,837925370545
1,87,69,1262,11,2011,1,35922,8391,2665.5852,837925370545
1,87,69,1259,12,2011,1,35922,9728,2597.5044,837925370545
1,87,69,1265,9,2011,1,35922,8391,2658.3916,837925370545
1,87,69,1263,10,2011,1,35922,8391,2623.9771,837925370545
1,87,69,1262,11,2011,1,35922,8391,2665.5852,837925370545
1,87,69,1259,12,2011,1,35922,9728,2597.5044,837925370545
1,83,69,1521,9,2011,1,35926,5987,4766.3667,837925370933
1,83,69,1518,10,2011,1,35926,5987,4730.8604,837925370933
1,83,69,1517,11,2011,1,35926,5987,4764.2285,837925370933
1,83,69,1513,12,2011,1,35926,5987,4715.9385,837925370933
1,83,69,1521,9,2011,1,35926,5987,4766.3667,837925370933
1,83,69,1518,10,2011,1,35926,5987,4730.8604,837925370933
1,83,69,1517,11,2011,1,35926,5987,4764.2285,837925370933
1,83,69,1513,12,2011,1,35926,5987,4715.9385,837925370933
1,83,69,1521,9,2011,1,35926,5987,4766.3667,837925370933
1,83,69,1518,10,2011,1,35926,5987,4730.8604,837925370933
1,83,69,1517,11,2011,1,35926,5987,4764.2285,837925370933
1,83,69,1513,12,2011,1,35926,5987,4715.9385,837925370933
1,77,69,981,10,2011,2,38767,1807,5405.8516,952454469755
1,77,69,980,11,2011,2,38767,1807,5842.4600,952454469755
1,77,69,978,12,2011,2,38767,1807,5800.4648,952454469755
1,77,69,982,1,2012,2,38767,1807,5652.7227,952454469755
1,77,69,981,10,2011,2,38767,1,5405.8516,952454469755
1,77,69,980,11,2011,2,38767,1,5842.4600,952454469755
1,77,69,978,12,2011,2,38767,1,5800.4648,952454469755
1,77,69,982,1,2012,2,38767,1,5652.7227,952454469755
1,91,69,2251,10,2011,2,38331,13935,3976.6890,952133369894
1,91,69,2249,11,2011,2,38331,13935,4025.8381,952133369894
1,91,69,2243,12,2011,2,38331,13935,4039.7915,952133369894
1,91,69,2253,1,2012,2,38331,13935,3861.5337,952133369894
1,91,69,2251,10,2011,2,38331,13935,3976.6890,952133369894
1,91,69,2249,11,2011,2,38331,13935,4025.8381,952133369894
1,91,69,2243,12,2011,2,38331,13935,4039.7915,952133369894
1,91,69,2253,1,2012,2,38331,13935,3861.5337,952133369894
1,91,69,2251,10,2011,2,38331,13935,3976.6890,952133369894
1,91,69,2249,11,2011,2,38331,13935,4025.8381,952133369894
1,91,69,2243,12,2011,2,38331,13935,4039.7915,952133369894
1,91,69,2253,1,2012,2,38331,13935,3861.5337,952133369894
1,91,69,2251,10,2011,2,38331,13935,3976.6890,952133369894
1,91,69,2249,11,2011,2,38331,13935,4025.8381,952133369894
