GHLFSAM,GRGC,GVARSTR,RFPOV,RHCALMN,RHCALYR,SROTATON,SSUSEQ,TFTOTINC,WHFNWGT,SSUID
1,43,8,2930,9,2011,1,37625,10469,5923.9824,916860000285
1,43,8,2924,10,2011,1,37625,10469,5824.0483,916860000285
1,43,8,2921,11,2011,1,37625,10469,5970.5898,916860000285
1,43,8,2914,12,2011,1,37625,10469,5881.8730,916860000285
1,43,8,2930,9,2011,1,37625,10469,5923.9824,916860000285
1,43,8,2924,10,2011,1,37625,10469,5824.0483,916860000285
1,43,8,2921,11,2011,1,37625,10469,5970.5898,916860000285
1,43,8,2914,12,2011,1,37625,10469,5881.8730,916860000285
1,43,8,2930,9,2011,1,37625,10469,5923.9824,916860000285
1,43,8,2924,10,2011,1,37625,10469,5824.0483,916860000285
1,43,8,2921,11,2011,1,37625,10469,5970.5898,916860000285
1,43,8,2914,12,2011,1,37625,10469,5881.8730,916860000285
1,43,8,2930,9,2011,1,37625,10469,5923.9824,916860000285
1,43,8,2924,10,2011,1,37625,10469,5824.0483,916860000285
1,43,8,2921,11,2011,1,37625,10469,5970.5898,916860000285
1,43,8,2914,12,2011,1,37625,10469,5881.8730,916860000285
1,43,8,2930,9,2011,1,37625,10469,5923.9824,916860000285
1,43,8,2924,10,2011,1,37625,10469,5824.0483,916860000285
1,43,8,2921,11,2011,1,37625,10469,5970.5898,916860000285
1,43,8,2914,12,2011,1,37625,10469,5881.8730,916860000285
1,43,8,2930,9,2011,1,37625,10469,5923.9824,916860000285
1,43,8,2924,10,2011,1,37625,10469,5824.0483,916860000285
1,43,8,2921,11,2011,1,37625,10469,5970.5898,916860000285
1,43,8,2914,12,2011,1,37625,10469,5881.8730,916860000285
1,43,8,2930,9,2011,1,37625,10469,5923.9824,916860000285
1,43,8,2924,10,2011,1,37625,10469,5824.0483,916860000285
1,43,8,2921,11,2011,1,37625,10469,5970.5898,916860000285
1,43,8,2914,12,2011,1,37625,10469,5881.8730,916860000285
1,43,8,1917,9,2011,1,37438,8677,5271.4014,916379000285
1,43,8,1913,10,2011,1,37438,8677,5252.6475,916379000285
1,43,8,1911,11,2011,1,37438,8677,5412.5605,916379000285
1,43,8,1906,12,2011,1,37438,8677,5387.6421,916379000285
1,43,8,1917,9,2011,1,37438,8677,5271.4014,916379000285
1,43,8,1913,10,2011,1,37438,8677,5252.6475,916379000285
1,43,8,1911,11,2011,1,37438,8677,5412.5605,916379000285
1,43,8,1906,12,2011,1,37438,8677,5387.6421,916379000285
1,43,8,1917,9,2011,1,37438,8677,5271.4014,916379000285
1,43,8,1913,10,2011,1,37438,8677,5252.6475,916379000285
1,43,8,1911,11,2011,1,37438,8677,5412.5605,916379000285
1,43,8,1906,12,2011,1,37438,8677,5387.6421,916379000285
1,43,8,1917,9,2011,1,37438,8677,5271.4014,916379000285
1,43,8,1913,10,2011,1,37438,8677,5252.6475,916379000285
1,43,8,1911,11,2011,1,37438,8677,5412.5605,916379000285
1,43,8,1906,12,2011,1,37438,8677,5387.6421,916379000285
1,43,8,1265,9,2011,1,37508,2344,5155.6333,916454000285
1,43,8,1263,10,2011,1,37508,2344,5174.4160,916454000285
1,43,8,1262,11,2011,1,37508,2344,5038.5796,916454000285
1,43,8,1470,12,2011,1,37508,8570,5548.9063,916454000285
1,43,8,1265,9,2011,1,37508,2344,5155.6333,916454000285
1,43,8,1263,10,2011,1,37508,2344,5174.4160,916454000285
1,43,8,1262,11,2011,1,37508,2344,5038.5796,916454000285
1,43,8,1470,12,2011,1,37508,8570,5548.9063,916454000285
1,43,8,1470,12,2011,1,37508,8570,5548.9063,916454000285
1,58,8,983,9,2011,1,37649,0,3319.6331,916860451899
1,58,8,981,10,2011,1,37649,0,3355.8245,916860451899
1,58,8,980,11,2011,1,37649,0,3387.0811,916860451899
1,58,8,978,12,2011,1,37649,0,3268.6133,916860451899
1,70,8,906,9,2011,1,37915,601,2517.4568,916925451999
1,70,8,904,10,2011,1,37915,601,2484.0205,916925451999
1,70,8,904,11,2011,1,37915,601,2489.6057,916925451999
1,70,8,901,12,2011,1,37915,601,2402.7490,916925451999
1,47,8,1513,12,2011,4,12429,9928,5488.1963,404860000285
1,47,8,1520,1,2012,4,12429,8428,5244.6831,404860000285
1,47,8,1526,2,2012,4,12429,5700,5172.3442,404860000285
1,47,8,1538,3,2012,4,12429,5700,4999.7354,404860000285
1,47,8,1513,12,2011,4,12429,9928,5488.1963,404860000285
1,47,8,1520,1,2012,4,12429,8428,5244.6831,404860000285
1,47,8,1526,2,2012,4,12429,5700,5172.3442,404860000285
1,47,8,1538,3,2012,4,12429,5700,4999.7354,404860000285
1,47,8,1513,12,2011,4,12429,9928,5488.1963,404860000285
1,47,8,1520,1,2012,4,12429,8428,5244.6831,404860000285
1,47,8,1526,2,2012,4,12429,5700,5172.3442,404860000285
1,47,8,1538,3,2012,4,12429,5700,4999.7354,404860000285
1,47,8,1470,12,2011,4,12249,2513,4649.8784,404379000285
1,47,8,1477,1,2012,4,12249,2717,4774.5337,404379000285
1,47,8,1483,2,2012,4,12249,2717,4927.6865,404379000285
1,47,8,1495,3,2012,4,12249,2717,4742.6489,404379000285
1,47,8,1470,12,2011,4,12249,2513,4649.8784,404379000285
1,47,8,1477,1,2012,4,12249,2717,4774.5337,404379000285
1,47,8,1483,2,2012,4,12249,2717,4927.6865,404379000285
1,47,8,1495,3,2012,4,12249,2717,4742.6489,404379000285
1,47,8,978,12,2011,4,12249,0,4649.8784,404379000285
1,47,8,982,1,2012,4,12249,0,4774.5337,404379000285
1,47,8,987,2,2012,4,12249,0,4927.6865,404379000285
1,47,8,994,3,2012,4,12249,0,4742.6489,404379000285
1,47,8,1470,12,2011,4,12249,2513,4649.8784,404379000285
1,47,8,1477,1,2012,4,12249,2717,4774.5337,404379000285
