GHLFSAM,GRGC,GVARSTR,RFPOV,RHCALMN,RHCALYR,SROTATON,SSUSEQ,TFTOTINC,WHFNWGT,SSUID
2,11,28,980,11,2011,2,39336,2300,7500.3647,952925743366
2,11,28,978,12,2011,2,39336,2300,7705.6963,952925743366
2,11,28,982,1,2012,2,39336,2300,7604.4844,952925743366
2,3,28,981,10,2011,2,39256,7597,5602.8960,952925651285
2,3,28,980,11,2011,2,39256,7539,5760.2217,952925651285
2,3,28,978,12,2011,2,39256,7539,5914.7944,952925651285
2,3,28,982,1,2012,2,39256,7539,5660.1465,952925651285
1,100,28,981,10,2011,2,39254,3200,4883.4512,952925651179
1,100,28,980,11,2011,2,39254,3200,4780.1255,952925651179
1,100,28,978,12,2011,2,39254,3200,4616.6968,952925651179
1,100,28,982,1,2012,2,39254,3200,4405.0093,952925651179
2,66,43,904,11,2011,3,23586,4832,5055.0459,644454398285
2,66,43,901,12,2011,3,23586,4832,5217.4692,644454398285
2,66,43,905,1,2012,3,23586,4832,5278.5479,644454398285
2,66,43,909,2,2012,3,23586,4832,5188.8862,644454398285
1,76,17,1262,11,2011,3,23844,3680,2753.1167,644925229960
1,76,17,1259,12,2011,3,23844,3680,2620.2900,644925229960
1,76,17,1264,1,2012,3,23844,3680,2769.8389,644925229960
1,76,17,1270,2,2012,3,23844,3680,2755.0056,644925229960
1,76,17,1262,11,2011,3,23844,3680,2753.1167,644925229960
1,76,17,1259,12,2011,3,23844,3680,2620.2900,644925229960
1,76,17,1264,1,2012,3,23844,3680,2769.8389,644925229960
1,76,17,1270,2,2012,3,23844,3680,2755.0056,644925229960
1,68,17,1262,11,2011,3,23845,1280,9157.6191,644925229999
1,68,17,1259,12,2011,3,23845,2576,9178.5791,644925229999
1,68,17,1264,1,2012,3,23845,2576,8941.0508,644925229999
1,68,17,1270,2,2012,3,23845,2576,8914.0410,644925229999
1,68,17,1262,11,2011,3,23845,1280,9157.6191,644925229999
1,68,17,1259,12,2011,3,23845,2576,9178.5791,644925229999
1,68,17,1264,1,2012,3,23845,2576,8941.0508,644925229999
1,68,17,1270,2,2012,3,23845,2576,8914.0410,644925229999
1,60,17,1517,11,2011,3,23943,8175,4228.0029,644925422108
1,60,17,1513,12,2011,3,23943,8175,4127.7285,644925422108
1,60,17,1520,1,2012,3,23943,8175,3947.8003,644925422108
1,60,17,1526,2,2012,3,23943,8175,4054.4177,644925422108
1,60,17,1517,11,2011,3,23943,8175,4228.0029,644925422108
1,60,17,1513,12,2011,3,23943,8175,4127.7285,644925422108
1,60,17,1520,1,2012,3,23943,8175,3947.8003,644925422108
1,60,17,1526,2,2012,3,23943,8175,4054.4177,644925422108
1,60,17,1517,11,2011,3,23943,8175,4228.0029,644925422108
1,60,17,1513,12,2011,3,23943,8175,4127.7285,644925422108
1,60,17,1520,1,2012,3,23943,8175,3947.8003,644925422108
1,60,17,1526,2,2012,3,23943,8175,4054.4177,644925422108
2,56,17,1911,11,2011,3,23944,541,5271.8477,644925422960
2,56,17,1906,12,2011,3,23944,541,5183.4795,644925422960
2,56,17,1915,1,2012,3,23944,541,4625.1396,644925422960
2,56,17,1923,2,2012,3,23944,541,4621.5200,644925422960
2,56,17,1911,11,2011,3,23944,541,5271.8477,644925422960
2,56,17,1906,12,2011,3,23944,541,5183.4795,644925422960
2,56,17,1915,1,2012,3,23944,541,4625.1396,644925422960
2,56,17,1923,2,2012,3,23944,541,4621.5200,644925422960
2,56,17,1911,11,2011,3,23944,541,5271.8477,644925422960
2,56,17,1906,12,2011,3,23944,541,5183.4795,644925422960
2,56,17,1915,1,2012,3,23944,541,4625.1396,644925422960
2,56,17,1923,2,2012,3,23944,541,4621.5200,644925422960
2,56,17,1911,11,2011,3,23944,541,5271.8477,644925422960
2,56,17,1906,12,2011,3,23944,541,5183.4795,644925422960
2,56,17,1915,1,2012,3,23944,541,4625.1396,644925422960
2,56,17,1923,2,2012,3,23944,541,4621.5200,644925422960
2,48,43,1975,11,2011,3,23945,2754,6555.2954,644925422999
2,48,43,1970,12,2011,3,23945,2754,6699.9595,644925422999
2,48,43,1979,1,2012,3,23945,2754,7089.3721,644925422999
2,48,43,1988,2,2012,3,23945,2754,7153.8340,644925422999
2,48,43,1975,11,2011,3,23945,2754,6555.2954,644925422999
2,48,43,1970,12,2011,3,23945,2754,6699.9595,644925422999
2,48,43,1979,1,2012,3,23945,2754,7089.3721,644925422999
2,48,43,1988,2,2012,3,23945,2754,7153.8340,644925422999
2,48,43,1975,11,2011,3,23945,2754,6555.2954,644925422999
2,48,43,1970,12,2011,3,23945,2754,6699.9595,644925422999
2,48,43,1979,1,2012,3,23945,2754,7089.3721,644925422999
2,48,43,1988,2,2012,3,23945,2754,7153.8340,644925422999
2,48,43,1975,11,2011,3,23945,2754,6555.2954,644925422999
2,48,43,1970,12,2011,3,23945,2754,6699.9595,644925422999
2,48,43,1979,1,2012,3,23945,2754,7089.3721,644925422999
2,48,43,1988,2,2012,3,23945,2754,7153.8340,644925422999
1,28,43,980,11,2011,3,24139,2,8698.8232,644925879999
