WHFNWGT,RFPOV,TFTOTINC,GRGC,GHLFSAM,GVARSTR,RHCALYR,RHCALMN,SROTATON,SSUSEQ,SSUID
3703.0430,1057,9467,68,1,99,2004,7,2,1,019128000932
3687.3418,1057,9467,68,1,99,2004,8,2,1,019128000932
3602.9973,1059,9467,68,1,99,2004,9,2,1,019128000932
3519.1023,1065,9467,68,1,99,2004,10,2,1,019128000932
3703.0430,1057,9467,68,1,99,2004,7,2,1,019128000932
3687.3418,1057,9467,68,1,99,2004,8,2,1,019128000932
3602.9973,1059,9467,68,1,99,2004,9,2,1,019128000932
3519.1023,1065,9467,68,1,99,2004,10,2,1,019128000932
2420.6018,1057,2838,45,1,4,2004,7,2,2,019128038046
2489.7708,1057,2838,45,1,4,2004,8,2,2,019128038046
2564.4788,1059,2838,45,1,4,2004,9,2,2,019128038046
2560.8835,1065,2838,45,1,4,2004,10,2,2,019128038046
2420.6018,1057,2838,45,1,4,2004,7,2,2,019128038046
2489.7708,1057,2838,45,1,4,2004,8,2,2,019128038046
2564.4788,1059,2838,45,1,4,2004,9,2,2,019128038046
2560.8835,1065,2838,45,1,4,2004,10,2,2,019128038046
3643.3213,821,581,43,1,96,2004,7,2,3,019128358448
3674.5210,821,581,43,1,96,2004,8,2,3,019128358448
3794.4482,823,581,43,1,96,2004,9,2,3,019128358448
3860.2991,827,581,43,1,96,2004,10,2,3,019128358448
5409.0732,1084,700,27,1,96,2004,7,2,4,019128358978
5358.0015,1084,700,27,1,96,2004,8,2,4,019128358978
5576.1445,1086,700,27,1,96,2004,9,2,4,019128358978
5579.1997,1092,3420,27,1,96,2004,10,2,4,019128358978
5409.0732,1084,700,27,1,96,2004,7,2,4,019128358978
5358.0015,1084,700,27,1,96,2004,8,2,4,019128358978
5576.1445,1086,700,27,1,96,2004,9,2,4,019128358978
5579.1997,1092,3420,27,1,96,2004,10,2,4,019128358978
7373.0322,821,1324,62,1,83,2004,7,2,5,019133000276
6625.6162,821,1324,62,1,83,2004,8,2,5,019133000276
6115.2891,823,1324,62,1,83,2004,9,2,5,019133000276
5895.5522,827,1324,62,1,83,2004,10,2,5,019133000276
3719.2632,1270,8720,30,2,62,2004,7,2,6,019133000301
3756.3132,1270,8887,30,2,62,2004,8,2,6,019133000301
3750.7781,1273,8887,30,2,62,2004,9,2,6,019133000301
3785.5339,1280,8887,30,2,62,2004,10,2,6,019133000301
3719.2632,1270,8720,30,2,62,2004,7,2,6,019133000301
3756.3132,1270,8887,30,2,62,2004,8,2,6,019133000301
3750.7781,1273,8887,30,2,62,2004,9,2,6,019133000301
3785.5339,1280,8887,30,2,62,2004,10,2,6,019133000301
3719.2632,1270,8720,30,2,62,2004,7,2,6,019133000301
3756.3132,1270,8887,30,2,62,2004,8,2,6,019133000301
3750.7781,1273,8887,30,2,62,2004,9,2,6,019133000301
3785.5339,1280,8887,30,2,62,2004,10,2,6,019133000301
4797.3950,1600,5153,8,1,62,2004,7,2,7,019133000778
4871.2397,1601,3073,8,1,62,2004,8,2,7,019133000778
4932.9453,1604,4542,8,1,62,2004,9,2,7,019133000778
3311.6436,1613,4933,8,1,62,2004,10,2,7,019133000778
4797.3950,1600,5153,8,1,62,2004,7,2,7,019133000778
4871.2397,1601,3073,8,1,62,2004,8,2,7,019133000778
4932.9453,1604,4542,8,1,62,2004,9,2,7,019133000778
3311.6436,1613,4933,8,1,62,2004,10,2,7,019133000778
4797.3950,1600,5153,8,1,62,2004,7,2,7,019133000778
4871.2397,1601,3073,8,1,62,2004,8,2,7,019133000778
4932.9453,1604,4542,8,1,62,2004,9,2,7,019133000778
