WHFNWGT,RFPOV,TFTOTINC,GRGC,GHLFSAM,GVARSTR,RHCALYR,RHCALMN,SROTATON,SSUSEQ,SSUID
1303.1060,1899,2073,45,1,96,2004,11,3,32502,784344467294
1288.5673,1883,2022,45,1,96,2004,8,3,32502,784344467294
1307.8135,1887,2201,45,1,96,2004,9,3,32502,784344467294
1316.2007,1898,2126,45,1,96,2004,10,3,32502,784344467294
1303.1060,1899,2073,45,1,96,2004,11,3,32502,784344467294
1346.4902,821,2267,33,1,96,2004,8,3,32503,784344467630
1328.3175,823,2267,33,1,96,2004,9,3,32503,784344467630
1341.0878,827,0,33,1,96,2004,10,3,32503,784344467630
1313.3945,828,0,33,1,96,2004,11,3,32503,784344467630
1250.0721,821,1403,28,1,96,2004,8,3,32504,784344467831
1218.5022,823,1403,28,1,96,2004,9,3,32504,784344467831
774.7025,1065,678,28,1,96,2004,10,3,32504,784344467831
770.5759,1065,1127,28,1,96,2004,11,3,32504,784344467831
1250.0721,821,4329,28,1,96,2004,8,3,32504,784344467831
1218.5022,823,4329,28,1,96,2004,9,3,32504,784344467831
774.7025,827,4329,28,1,96,2004,10,3,32504,784344467831
770.5759,828,4329,28,1,96,2004,11,3,32504,784344467831
774.7025,1065,678,28,1,96,2004,10,3,32504,784344467831
770.5759,1065,1127,28,1,96,2004,11,3,32504,784344467831
1008.0225,1883,2526,54,1,96,2004,8,3,32505,784344467944
1034.9872,1887,2046,54,1,96,2004,9,3,32505,784344467944
1035.7324,1898,2045,54,1,96,2004,10,3,32505,784344467944
1065.5869,1899,1573,54,1,96,2004,11,3,32505,784344467944
1008.0225,1883,2526,54,1,96,2004,8,3,32505,784344467944
1034.9872,1887,2046,54,1,96,2004,9,3,32505,784344467944
1035.7324,1898,2045,54,1,96,2004,10,3,32505,784344467944
1065.5869,1899,1573,54,1,96,2004,11,3,32505,784344467944
1008.0225,1883,2526,54,1,96,2004,8,3,32505,784344467944
1034.9872,1887,2046,54,1,96,2004,9,3,32505,784344467944
1035.7324,1898,2045,54,1,96,2004,10,3,32505,784344467944
1065.5869,1899,1573,54,1,96,2004,11,3,32505,784344467944
1008.0225,1883,2526,54,1,96,2004,8,3,32505,784344467944
1034.9872,1887,2046,54,1,96,2004,9,3,32505,784344467944
